HHID_panel,year,income,DSR,loanamount,DIR,caste,assets,jatis,DAR,ISR,std_assets,std_income,std_DSR,std_DAR,std_loanamount,std_ISR,std_DIR
GOV41,2016,64.050629,4922.4224,167.60001,2.6166804,Upper,139.87341,Mudaliar,119.82263,0,-.51163113,-.32947624,-.057422306,.12484601,.13366593,-.11478283,-.058697619
GOV41,2020,130.43478,166.66666,8.1000004,.062100001,Upper,351.63043,Mudaliar,2.303555,.41666663,.08994747,.36398691,-.15663652,-.2209903,-.74626493,-.11336028,-.20636351
GOV42,2010,55,1209.0909,58,1.0545454,Upper,439,Mudaliar,13.211844,8.454546,.33815488,-.42402104,-.13488954,-.18888928,-.47097623,-.08591789,-.14899585
GOV42,2016,149.3671,5117.4971,522.20001,3.4960847,Upper,1901.2659,Mudaliar,27.465912,0,4.4922924,.56175792,-.053352673,-.14694227,2.089926,-.11478283,-.0078642135
GOV42,2020,122.6087,22.163122,194.60001,1.5871632,Upper,313.8587,Mudaliar,62.002426,0,-.017357888,.28223389,-.15965113,-.045307867,.28261974,-.11478283,-.11820821
GOV43,2016,274.55695,644.26697,253.10001,.92184883,Middle,577.7215,Vanniyar,43.810036,6.4426699,.73224747,1.8695179,-.14667286,-.098844618,.605353,-.0927867,-.15666628
GOV43,2020,199.8913,0,434.60001,2.1741817,Middle,591.84784,Vanniyar,73.431038,0,.77237892,1.0895445,-.1601135,-.011675635,1.6066536,-.11478283,-.084275976
GOV44,2010,65,2455.001,76,1.1692308,Middle,181,Vanniyar,41.988953,3.2307692,-.39479497,-.31955889,-.10889746,-.10420372,-.3716737,-.10375256,-.14236653
GOV44,2016,326.39243,1548.6226,430.29999,1.3183516,Middle,792.97467,Vanniyar,54.264027,7.1306057,1.3437582,2.4110024,-.12780626,-.068080507,1.5829313,-.090437993,-.13374668
GOV44,2020,38.315216,567.37592,22.200001,.57940429,Middle,168.04349,Vanniyar,13.210866,0,-.43160298,-.59831387,-.14827695,-.18889216,-.66847795,-.11478283,-.17646107
