HHID_panel,caste,jatis,cat_income,cat_assets,villageid,villagearea,sbd_annualincome,sbd_assets_noland,sbd_loanamount,sbd_dsr,sbd_dar,sbd_expenses,sbd_dir
MANAM30,Middle,Vanniyar,T3 in.,T3 as.,MANAM,Ur,Inc-Dec,Dec-Dec,Inc-Dec,Dec-Dec,Inc-Inc,Inc-Dec,Dec-Dec
MANAM31,Upper,Naidu,T3 in.,T3 as.,MANAM,Ur,Sta-Dec,Inc-Inc,Inc-Inc,Sta-Dec,Inc-Dec,Dec-Inc,Inc-Inc
MANAM32,Upper,Rediyar,T2 in.,T2 as.,MANAM,Ur,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Dec-Inc,Inc-Inc
MANAM33,Dalits,SC,T3 in.,T2 as.,MANAM,Colony,Sta-Dec,Dec-Dec,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Dec,Inc-Inc
MANAM36,Middle,Vanniyar,T2 in.,T3 as.,MANAM,Ur,Inc-Dec,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Dec,Inc-Inc
MANAM37,Dalits,SC,T2 in.,T1 as.,MANAM,Colony,Dec-Inc,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Dec,Inc-Inc
MANAM38,Dalits,SC,T1 in.,T1 as.,MANAM,Colony,Inc-Dec,Dec-Inc,Dec-Inc,Dec-Dec,Dec-Dec,Inc-Dec,Dec-Dec
MANAM39,Middle,Asarai,T3 in.,T1 as.,MANAM,Ur,Inc-Dec,Inc-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Dec-Inc,Dec-Dec
MANAM4,Middle,Vanniyar,T3 in.,T3 as.,MANAM,Ur,Sta-Dec,Inc-Inc,Inc-Inc,INC-INC,Dec-Inc,Inc-Dec,Inc-Inc
MANAM41,Dalits,SC,T3 in.,T2 as.,MANAM,Colony,Inc-Dec,Inc-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Inc-Dec,Inc-Inc
MANAM42,Dalits,SC,T2 in.,T1 as.,MANAM,Colony,Dec-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Inc-Inc,Inc-Dec,Inc-Inc
MANAM43,Dalits,SC,T2 in.,T2 as.,MANAM,Colony,Dec-Inc,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Dec-Inc,Inc-Inc
MANAM45,Dalits,SC,T3 in.,T1 as.,MANAM,Colony,Inc-Dec,Dec-Inc,Inc-Inc,INC-INC,Inc-Dec,Dec-Inc,DEC-INC
MANAM47,Dalits,SC,T2 in.,T2 as.,MANAM,Colony,Inc-Dec,Inc-Inc,Inc-Inc,INC-INC,Inc-Inc,Inc-Dec,Inc-Inc
MANAM48,Dalits,SC,T3 in.,T1 as.,MANAM,Colony,Sta-Dec,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Inc-Inc
MANAM49,Dalits,SC,T2 in.,T2 as.,MANAM,Colony,Dec-Inc,Dec-Dec,Inc-Dec,Dec-Dec,Inc-Inc,Dec-Inc,Inc-Dec
MANAM5,Dalits,SC,T3 in.,T2 as.,MANAM,Colony,Inc-Dec,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Dec,Inc-Inc
MANAM50,Upper,Naidu,T3 in.,T3 as.,MANAM,Ur,Dec-Inc,Inc-Inc,Inc-Inc,Sta-Dec,Inc-Inc,Dec-Inc,Inc-Inc
MANAM51,Upper,Rediyar,T3 in.,T3 as.,MANAM,Ur,Dec-Inc,Dec-Inc,Inc-Inc,Dec-Dec,Inc-Dec,Dec-Inc,Inc-Dec
MANAM8,Dalits,SC,T3 in.,T3 as.,MANAM,Colony,Dec-Inc,Dec-Inc,Dec-Inc,Dec-Dec,Dec-Dec,Dec-Dec,Inc-Inc
MANAM9,Dalits,SC,T3 in.,T1 as.,MANAM,Colony,Inc-Dec,Inc-Inc,Inc-Dec,Inc-Inc,Inc-Dec,Dec-Dec,Inc-Inc
NAT1,Dalits,SC,T1 in.,T1 as.,NAT,Colony,Inc-Dec,Inc-Inc,Inc-Dec,Dec-Dec,Inc-Dec,Inc-Dec,Inc-Dec
NAT10,Dalits,SC,T1 in.,T2 as.,NAT,Colony,Dec-Inc,Dec-Dec,Inc-Inc,Sta-Dec,Inc-Inc,Dec-Inc,Inc-Dec
NAT11,Dalits,SC,T3 in.,T3 as.,NAT,Colony,Dec-Inc,Dec-Dec,Inc-Dec,INC-INC,Inc-Dec,Inc-Dec,Inc-Dec
NAT12,Upper,Rediyar,T3 in.,T2 as.,NAT,Ur,Inc-Dec,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Dec,Inc-Inc
NAT13,Dalits,SC,T1 in.,T2 as.,NAT,Colony,Sta-Dec,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Dec-Inc,Inc-Inc
NAT14,Dalits,SC,T2 in.,T1 as.,NAT,Colony,Inc-Dec,DEC-INC,Inc-Dec,Sta-Dec,Inc-Dec,Dec-Dec,Inc-Dec
NAT15,Dalits,SC,T3 in.,T3 as.,NAT,Colony,Sta-Dec,Dec-Dec,Inc-Inc,INC-INC,Dec-Dec,Dec-Dec,Inc-Inc
NAT16,Dalits,SC,T3 in.,T3 as.,NAT,Colony,Dec-Inc,Dec-Inc,Dec-Inc,Inc-Inc,Dec-Dec,Inc-Dec,Dec-Dec
NAT17,Middle,Vanniyar,T1 in.,T2 as.,NAT,Ur,Dec-Inc,Dec-Dec,Inc-Inc,Dec-Dec,Dec-Inc,Dec-Inc,Inc-Inc
NAT18,Dalits,SC,T2 in.,T3 as.,NAT,Colony,Dec-Inc,Dec-Inc,Dec-Inc,Sta-Dec,Dec-Dec,Dec-Inc,Inc-Dec
NAT19,Middle,Vanniyar,T3 in.,T3 as.,NAT,Ur,Dec-Sta,Inc-Inc,Dec-Inc,Inc-Inc,Dec-Inc,Inc-Dec,Inc-Inc
NAT2,Dalits,SC,T1 in.,T1 as.,NAT,Colony,Dec-Inc,Inc-Inc,Inc-Inc,INC-INC,Inc-Inc,Dec-Dec,Inc-Dec
NAT20,Middle,Vanniyar,T2 in.,T3 as.,NAT,Ur,Dec-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Inc-Inc,Dec-Dec,Inc-Dec
NAT24,Middle,Vanniyar,T2 in.,T3 as.,NAT,Ur,Dec-Inc,Dec-Dec,Inc-Inc,INC-INC,Inc-Inc,Inc-Dec,Inc-Inc
NAT26,Dalits,SC,T1 in.,T2 as.,NAT,Colony,Inc-Dec,Dec-Dec,Inc-Inc,INC-INC,Inc-Inc,Inc-Dec,Inc-Inc
NAT28,Middle,Vanniyar,T3 in.,T2 as.,NAT,Ur,Dec-Inc,Dec-Dec,Inc-Inc,Inc-Inc,Dec-Inc,Dec-Inc,Inc-Inc
NAT29,Dalits,SC,T2 in.,T1 as.,NAT,Colony,Inc-Dec,Dec-Dec,Inc-Inc,INC-INC,Inc-Inc,Inc-Dec,Inc-Inc
NAT32,Dalits,SC,T1 in.,T2 as.,NAT,Colony,Dec-Inc,Dec-Inc,Inc-Inc,Dec-Dec,Inc-Inc,Dec-Inc,Inc-Inc
NAT33,Dalits,SC,T3 in.,T3 as.,NAT,Colony,Dec-Inc,Inc-Inc,Dec-Inc,Dec-Dec,Dec-Inc,Dec-Inc,Dec-Dec
NAT34,Middle,Vanniyar,T2 in.,T2 as.,NAT,Ur,Sta-Dec,Dec-Inc,Inc-Dec,Inc-Inc,Inc-Dec,Inc-Dec,Dec-Dec
NAT37,Dalits,SC,T1 in.,T2 as.,NAT,Colony,Dec-Inc,Dec-Inc,Inc-Dec,Dec-Dec,Inc-Dec,Inc-Dec,Inc-Dec
NAT38,Dalits,SC,T2 in.,T1 as.,NAT,Colony,Dec-Inc,Dec-Dec,Inc-Inc,Dec-Dec,Inc-Inc,Inc-Dec,Dec-Dec
NAT39,Upper,Rediyar,T3 in.,T3 as.,NAT,Ur,Sta-Dec,Inc-Inc,Inc-Inc,INC-INC,Inc-Inc,Dec-Inc,DEC-INC
NAT4,Dalits,SC,T3 in.,T2 as.,NAT,Colony,Sta-Dec,Dec-Dec,Inc-Inc,INC-INC,Inc-Inc,Inc-Dec,Inc-Inc
NAT41,Middle,Vanniyar,T3 in.,T2 as.,NAT,Ur,Dec-Inc,Dec-Inc,Dec-Inc,Dec-Inc,Dec-Inc,Dec-Inc,DEC-INC
NAT43,Middle,Vanniyar,T1 in.,T2 as.,NAT,Ur,Inc-Dec,Dec-Dec,Dec-Inc,Inc-Inc,Dec-Inc,Dec-Inc,DEC-INC
NAT44,Dalits,SC,T2 in.,T2 as.,NAT,Colony,Dec-Inc,Inc-Inc,Inc-Inc,INC-INC,Dec-Dec,Dec-Dec,Inc-Inc
NAT45,Upper,Rediyar,T1 in.,T2 as.,NAT,Ur,Inc-Dec,Dec-Inc,Inc-Inc,Dec-Dec,Inc-Inc,Dec-Dec,Dec-Dec
NAT46,Dalits,SC,T3 in.,T1 as.,NAT,Colony,Dec-Inc,Inc-Inc,Inc-Inc,INC-INC,Inc-Inc,Dec-Inc,Inc-Inc
NAT47,Middle,Vanniyar,T1 in.,T2 as.,NAT,Ur,Inc-Dec,Inc-Inc,Inc-Dec,Dec-Dec,Dec-Dec,Inc-Dec,Dec-Dec
NAT48,Middle,Vanniyar,T1 in.,T3 as.,NAT,Ur,Sta-Dec,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Dec,DEC-INC
NAT49,Middle,Vanniyar,T3 in.,T1 as.,NAT,Ur,Inc-Dec,Dec-Inc,Inc-Inc,INC-INC,Inc-Dec,Dec-Dec,Inc-Inc
NAT5,Dalits,SC,T3 in.,T3 as.,NAT,Colony,Sta-Dec,Inc-Inc,Inc-Inc,INC-INC,Inc-Inc,Inc-Dec,Inc-Inc
NAT50,Dalits,SC,T2 in.,T1 as.,NAT,Colony,Inc-Dec,Inc-Inc,Dec-Inc,Inc-Inc,Dec-Inc,Inc-Dec,DEC-INC
NAT51,Upper,Naidu,T2 in.,T2 as.,NAT,Ur,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Dec,Inc-Inc
NAT6,Dalits,SC,T1 in.,T1 as.,NAT,Colony,Sta-Dec,Dec-Dec,Dec-Inc,Dec-Inc,Dec-Inc,Dec-Dec,DEC-INC
NAT7,Middle,Vanniyar,T3 in.,T3 as.,NAT,Ur,Inc-Dec,Dec-Inc,Inc-Inc,Dec-Inc,Inc-Inc,Dec-Inc,Inc-Inc
NAT9,Middle,Vanniyar,T1 in.,T2 as.,NAT,Ur,Dec-Inc,Dec-Dec,Inc-Inc,INC-INC,Inc-Inc,Inc-Dec,Inc-Inc
ORA1,Middle,Vanniyar,T1 in.,T3 as.,ORA,Ur,Inc-Dec,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Dec,Inc-Inc
ORA10,Middle,Navithar,T3 in.,T2 as.,ORA,Ur,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Dec-Inc,Dec-Inc,Dec-Dec
ORA12,Dalits,Arunthathiyar,T1 in.,T1 as.,ORA,Colony,Inc-Dec,Dec-Dec,Inc-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Inc-Inc
ORA14,Middle,Vanniyar,T1 in.,T2 as.,ORA,Ur,Inc-Dec,Inc-Inc,Inc-Dec,Dec-Dec,Dec-Dec,Dec-Dec,Inc-Dec
ORA15,Middle,Vanniyar,T3 in.,T2 as.,ORA,Ur,Inc-Dec,Inc-Inc,Inc-Inc,Inc-Inc,Dec-Dec,Dec-Inc,Inc-Inc
ORA17,Dalits,SC,T2 in.,T2 as.,ORA,Colony,Inc-Dec,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Dec-Inc,Inc-Inc
ORA18,Middle,Vanniyar,T3 in.,T3 as.,ORA,Ur,Dec-Inc,Dec-Inc,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Dec,Inc-Inc
ORA2,Dalits,SC,T1 in.,T1 as.,ORA,Colony,Inc-Dec,Dec-Inc,Dec-Inc,Inc-Inc,Dec-Inc,Dec-Inc,DEC-INC
ORA21,Middle,Vanniyar,T2 in.,T1 as.,ORA,Ur,Inc-Dec,Inc-Inc,Inc-Dec,Sta-Dec,Dec-Dec,Inc-Dec,Dec-Dec
ORA22,Middle,Vanniyar,T2 in.,T2 as.,ORA,Ur,Dec-Inc,Dec-Inc,Inc-Dec,Sta-Dec,Inc-Dec,Inc-Dec,Inc-Dec
ORA23,Middle,Vanniyar,T2 in.,T3 as.,ORA,Ur,Inc-Dec,Inc-Inc,Dec-Inc,Dec-Inc,Dec-Inc,Inc-Dec,DEC-INC
ORA24,Dalits,SC,T2 in.,T2 as.,ORA,Colony,Dec-Inc,Dec-Inc,Dec-Inc,Dec-Dec,Inc-Inc,Inc-Dec,Dec-Dec
ORA25,Middle,Vanniyar,T3 in.,T3 as.,ORA,Ur,Dec-Sta,Dec-Inc,Dec-Inc,Inc-Inc,Dec-Dec,Dec-Inc,Inc-Inc
ORA26,Dalits,SC,T3 in.,T3 as.,ORA,Colony,Sta-Dec,Dec-Dec,Inc-Inc,Inc-Inc,Inc-Inc,Inc-Dec,DEC-INC
