HHID_panel,tempo,de_assets1,de_assets2,di_assets,de_DAR1,de_DAR2,di_DAR,de_DSR1,de_DSR2,di_DSR,de_income1,de_income2,di_income,de_ISR1,de_ISR2,di_ISR,de_expenses1,de_expenses2,di_expenses,cat_assets_b,cat_DAR_b,cat_DSR_b,cat_income_b,cat_ISR_b,cat_expenses_b
ELA2,1,126.63095,45.72924,329.24048,186.80991,-46.668594,.61072469,-79.629601,93.87365,-.20876381,68.236687,-41.870888,117.3671,-69.187141,66.954811,-.068756737,-20.886076,-15.720612,-18045.57,Inc,Inc,Dec,Inc,Dec,Dec
ELA2,2,126.63095,45.72924,269.4552,186.80991,-46.668594,-.43758702,-79.629601,93.87365,.05013302,68.236687,-41.870888,-121.16057,-69.187141,66.954811,.020502349,-20.886076,-15.720612,-10745.734,Inc,Dec,Inc,Dec,Inc,Dec
ELA20,1,4.963027,25.138868,10.025314,103.85332,-4.2163858,.34960523,789.6087,299.8562,1.4320251,-52.62104,-76.18335,-37.255699,289.83884,611.8512,.44377297,100.20666,-21.517061,29460.758,Sta,Inc,Inc,Dec,Inc,Inc
ELA20,2,4.963027,25.138868,53.300766,103.85332,-4.2163858,-.028934479,789.6087,299.8562,4.837832,-52.62104,-76.18335,-25.555174,289.83884,611.8512,3.6520371,100.20666,-21.517061,-12665.105,Inc,Sta,Inc,Dec,Inc,Dec
ELA21,1,225.12892,-29.690548,182.35443,-47.485989,-85.464081,-.43675387,44.756176,-100,.078183666,76.20253,-56.571712,47.626579,-89.399696,-100,-.14901857,11.927808,-69.458763,7850.8828,Inc,Dec,Inc,Inc,Dec,Inc
ELA21,2,225.12892,-29.690548,-78.191376,-47.485989,-85.464081,-.41279086,44.756176,-100,-.25287166,76.20253,-56.571712,-62.300491,-89.399696,-100,-.017669439,11.927808,-69.458763,-51170.883,Dec,Dec,Dec,Dec,Dec,Dec
ELA22,1,89.044609,174.96059,74.79747,-30.162231,-18.271484,-.29264545,-93.937881,7659.1816,-.56471652,128.73045,-82.673203,96.032921,-62.993977,2078.4294,-.062035557,-14.64024,182.74124,-4450.6328,Inc,Dec,Dec,Inc,Dec,Dec
ELA22,2,89.044609,174.96059,277.83301,-30.162231,-18.271484,-.12380624,-93.937881,7659.1816,2.7912354,128.73045,-82.673203,-141.0677,-62.993977,2078.4294,.75744206,-14.64024,182.74124,47420.195,Inc,Dec,Inc,Dec,Inc,Inc
ELA23,1,59.252567,-34.021492,62.215195,-18.787291,218.36362,-.10735595,-19.445192,-100,-.032081842,-8.8090935,16.033382,-4.3164558,-19.445192,-100,-.032081842,19.216503,-64.040894,8916.457,Inc,Dec,Dec,Sta,Dec,Inc
ELA23,2,59.252567,-34.021492,-56.889107,-18.787291,218.36362,1.0133657,-19.445192,-100,-.13290414,-8.8090935,16.033382,7.1642838,-19.445192,-100,-.13290414,19.216503,-64.040894,-35425.152,Dec,Inc,Dec,Inc,Dec,Dec
ELA24,1,-37.363598,32.587063,-151.69621,14.366764,70.510994,.056263924,9.2584877,1216.8669,.01816088,66.504387,-79.675026,43.227852,-74.218178,2903.7087,-.14558181,-50.874886,-39.423698,-52960.758,Dec,Inc,Sta,Inc,Dec,Dec
ELA24,2,-37.363598,32.587063,82.870132,14.366764,70.510994,.31581134,9.2584877,1216.8669,2.6079252,66.504387,-79.675026,-86.230568,-74.218178,2903.7087,1.4684647,-50.874886,-39.423698,-20160.98,Inc,Inc,Inc,Dec,Inc,Dec
ELA26,1,-39.145569,8.2858467,-156.58228,198.02141,-61.636948,.5099051,175.33975,77.112106,.9136762,-73.628693,-86.260872,-79.51899,206.92062,435.35779,.32000935,-64.870514,64.997299,-56567.086,Dec,Inc,Inc,Dec,Inc,Dec
ELA26,2,-39.145569,8.2858467,20.16922,198.02141,-61.636948,-.47300509,175.33975,77.112106,1.1063777,-73.628693,-86.260872,-24.567968,206.92062,435.35779,2.0664804,-64.870514,64.997299,19910.564,Sta,Dec,Inc,Dec,Inc,Inc
ELA27,1,-1.0641245,3.0132887,-1.9367065,390.21652,154.75198,.38592845,153.82224,-98.017159,.15962505,-28.275856,908.57385,-40.999992,69.996376,-96.656776,.01808803,-51.423611,-15.384002,-36716.457,Sta,Inc,Inc,Dec,Inc,Dec
ELA27,2,-1.0641245,3.0132887,5.425827,390.21652,154.75198,.75028336,153.82224,-98.017159,-.25817475,-28.275856,908.57385,944.91687,69.996376,-96.656776,-.042460751,-51.423611,-15.384002,-5335.7168,Sta,Inc,Dec,Inc,Dec,Dec
ELA30,1,102.14216,12.727928,199.17722,-85.158958,494.1915,-.32316732,-95.481926,8966.0117,-.13510692,-43.322788,50.854282,-34.65823,-91.907501,446.85077,-.072606929,-53.364426,324.83789,-17236.709,Inc,Dec,Dec,Dec,Dec,Dec
ELA30,2,102.14216,12.727928,50.170593,-85.158958,494.1915,.27832788,-95.481926,8966.0117,.57320404,-43.322788,50.854282,23.058231,-91.907501,446.85077,.028567513,-53.364426,324.83789,48931.273,Inc,Inc,Inc,Inc,Inc,Inc
ELA31,1,-94.347397,2049.0229,-198.60127,961.45734,-95.199638,2.6491463,-86.599518,-75.302101,-.80891085,321.94092,-5.5434771,96.582275,-82.634583,-45.134579,-.17875253,-60.56559,5.3206849,-35188.609,Dec,Inc,Dec,Inc,Dec,Dec
ELA31,2,-94.347397,2049.0229,243.8078,961.45734,-95.199638,-2.7842853,-86.599518,-75.302101,-.094256788,321.94092,-5.5434771,-7.0170593,-82.634583,-45.134579,-.016954498,-60.56559,5.3206849,1219.043,Inc,Dec,Dec,Sta,Dec,Sta
ELA33,1,13.958833,-13.21331,25.405075,284.3493,-57.645592,.93741536,-34.737633,517.26837,-.038589552,5.0472598,-30.581341,3.9873352,-79.560616,444.26746,-.088382788,67.768753,-8.6185369,22702.531,Inc,Inc,Dec,Sta,Dec,Inc
ELA33,2,13.958833,-13.21331,-27.405075,284.3493,-57.645592,-.73041904,-34.737633,517.26837,.37501469,5.0472598,-30.581341,-25.378639,-79.560616,444.26746,.1008746,67.768753,-8.6185369,-4843.8359,Dec,Dec,Inc,Dec,Inc,Sta
ELA35,1,-19.349817,8.8746529,-43.246841,579.80115,-56.515701,.59666342,566.96545,-33.712124,.63521427,-93.490051,530.9823,-98.164558,84.368629,33.821136,.091310501,-52.633728,3.6356866,-16316.456,Dec,Inc,Inc,Dec,Inc,Dec
ELA35,2,-19.349817,8.8746529,15.996841,579.80115,-56.515701,-.39536783,566.96545,-33.712124,-.25191444,-93.490051,530.9823,36.294994,84.368629,33.821136,.067486197,-52.633728,3.6356866,533.84766,Sta,Dec,Dec,Inc,Inc,Sta
ELA36,1,-84.452393,775.22369,-155.39241,1707.1953,-94.45578,3.8040767,-5.3970332,-46.537418,-.0082840174,48.683941,66.638023,30.670883,174.82986,21.05979,.040793635,19.808645,-5.6345077,11845.57,Dec,Inc,Sta,Inc,Inc,Inc
ELA36,2,-84.452393,775.22369,221.77286,1707.1953,-94.45578,-3.8036425,-5.3970332,-46.537418,-.067576073,48.683941,66.638023,62.420425,174.82986,21.05979,.013505004,19.808645,-5.6345077,-4036.875,Inc,Dec,Dec,Inc,Inc,Sta
ELA37,1,-78.93309,22.170664,-221.01266,2631.5569,-49.310802,1.033826,374.36237,-59.380318,.41174188,-47.257381,50.224903,-31.189873,618.12225,-99.791069,.089815043,9.3670864,220.02316,4683.543,Dec,Inc,Inc,Dec,Inc,Sta
ELA37,2,-78.93309,22.170664,13.077885,2631.5569,-49.310802,-.52915996,374.36237,-59.380318,-.30980298,-47.257381,50.224903,17.483353,618.12225,-99.791069,-.10412733,9.3670864,220.02316,120316.45,Inc,Dec,Dec,Inc,Dec,Inc
ELA38,1,-48.14473,73.718323,-112.17722,-69.26931,115.80843,-.4608044,-78.223564,30.988394,-.20382196,-34.016762,228.88438,-24.151901,-80.815994,454.50278,-.017073799,-5.5973926,-28.705185,-5306.3281,Dec,Dec,Dec,Dec,Dec,Sta
ELA38,2,-48.14473,73.718323,89.068527,-69.26931,115.80843,.23674908,-78.223564,30.988394,.017583255,-34.016762,228.88438,107.22798,-80.815994,454.50278,.01842081,-5.5973926,-28.705185,-25689.324,Inc,Inc,Inc,Inc,Inc,Dec
ELA39,1,402.2916,-63.448383,699.98737,79.301933,-38.368053,.22104275,2103.6379,748.38464,.32058439,-2.5240595,-92.337845,-4.2151794,364.13095,1543.2267,.05549182,104.65398,-52.294685,34954.43,Inc,Inc,Inc,Sta,Inc,Inc
ELA39,2,402.2916,-63.448383,-554.53088,79.301933,-38.368053,-.19175524,2103.6379,748.38464,2.5132546,-2.5240595,-92.337845,-150.312,364.13095,1543.2267,1.0915449,104.65398,-52.294685,-35745.734,Dec,Dec,Inc,Dec,Inc,Dec
ELA4,1,-68.167915,182.43037,-173.48734,632.46191,-38.137733,.94434392,-92.856194,178.68068,-.39879292,87.208527,-6.796381,82.848099,-78.218056,3.5802066,-.10127179,-62.443974,85.534584,-32096.203,Dec,Inc,Dec,Inc,Dec,Dec
ELA4,2,-68.167915,182.43037,147.79169,632.46191,-38.137733,-.41709572,-92.856194,178.68068,.054820605,87.208527,-6.796381,-12.087234,-78.218056,3.5802066,.0010096859,-62.443974,85.534584,16511.422,Inc,Dec,Inc,Sta,Sta,Inc
ELA40,1,-24.582623,-44.362938,-99.436707,182.06665,49.850082,.54462457,2336.6746,-94.390747,3.6556358,-78.592705,448.81848,-64.131645,1263.261,-98.973816,1.6666993,132.45964,-51.328991,35631.645,Dec,Inc,Inc,Dec,Inc,Inc
ELA40,2,-24.582623,-44.362938,-135.33504,182.06665,49.850082,.42061472,2336.6746,-94.390747,-3.5982523,-78.592705,448.81848,78.401207,1263.261,-98.973816,-1.7801783,132.45964,-51.328991,-32096.861,Dec,Inc,Dec,Inc,Dec,Dec
ELA41,1,-5.1873899,-7.7464185,-13.227844,-73.908043,46.281849,-.94196528,-71.378723,147.78879,-1.1542867,-82.533493,45.306114,-85.009491,-83.745918,99.583374,-.33452106,25.901724,-71.338127,9635.4414,Sta,Dec,Dec,Dec,Dec,Inc
ELA41,2,-5.1873899,-7.7464185,-18.728683,-73.908043,46.281849,.15390775,-71.378723,147.78879,.68403041,-82.533493,45.306114,8.1507988,-83.745918,99.583374,.064656056,25.901724,-71.338127,-33411.527,Sta,Inc,Inc,Inc,Inc,Dec
ELA42,1,-33.469097,243.11986,-91.537979,626.3772,-79.126358,1.1222115,50.396633,-36.521301,.2994647,-36.708862,170.23659,-18.721519,316.22559,-98.811523,.51495171,58.69096,-7.280921,24063.293,Dec,Inc,Inc,Dec,Inc,Inc
ELA42,2,-33.469097,243.11986,442.3858,626.3772,-79.126358,-1.029727,50.396633,-36.521301,-.32638371,-36.708862,170.23659,54.949783,316.22559,-98.811523,-.66973937,58.69096,-7.280921,-4737.207,Inc,Dec,Dec,Inc,Dec,Sta
ELA43,1,344.18222,45.332611,609.20251,.12271594,-58.704136,.00076264143,33.738045,-75.400658,.1383687,9.4696331,34.139774,7.4810104,364.98019,-97.848732,.3418802,122.40076,-3.5385995,79070.891,Inc,Sta,Inc,Sta,Inc,Inc
ELA43,2,344.18222,45.332611,356.40613,.12271594,-58.704136,-.36527565,33.738045,-75.400658,-.41356909,9.4696331,34.139774,29.524422,364.98019,-97.848732,-.4261812,122.40076,-3.5385995,-5083.9375,Inc,Dec,Dec,Inc,Dec,Sta
