"","HHID_panel","caste","jatis","cat_income","cat_assets","villageid","villagearea","sbd_annualincome","sbd_assets_noland","sbd_loanamount","sbd_dsr","sbd_dar","sbd_expenses","sbd_dir","sbd_dsr","sbd_dar","sbd_assets_noland","clust"
"1","ELA1","Middle","Nattar","T1 in.","T3 as.","ELA","Ur","Dec-Inc","Dec-Inc","Inc-Dec","Dec-Dec","Dec-Dec","Dec-Inc","Inc-Dec","sbd_dsr_Dec-Dec","sbd_dar_Dec-Dec","sbd_assets_noland_Dec-Inc","4"
"2","ELA10","Middle","Nattar","T1 in.","T1 as.","ELA","Ur","Dec-Inc","Inc-Inc","Inc-Inc","Inc-Inc","Inc-Inc","Dec-Dec","Inc-Inc","sbd_dsr_Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Inc-Inc","4"
"3","ELA11","Middle","Vanniyar","T3 in.","T3 as.","ELA","Ur","Sta-Dec","Dec-Dec","Inc-Inc","Inc-Inc","Inc-Inc","Inc-Dec","DEC-INC","sbd_dsr_Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Dec","2"
"4","ELA12","Middle","Vanniyar","T3 in.","T3 as.","ELA","Ur","Sta-Dec","Dec-Dec","Inc-Inc","Inc-Inc","Inc-Inc","Dec-Dec","Inc-Inc","sbd_dsr_Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Dec-Dec","2"
"5","ELA13","Middle","Nattar","T2 in.","T2 as.","ELA","Ur","Dec-Inc","Dec-Inc","Inc-Inc","Dec-Dec","Dec-Dec","Dec-Inc","Inc-Dec","sbd_dsr_Dec-Dec","sbd_dar_Dec-Dec","sbd_assets_noland_Dec-Inc","4"
"6","ELA14","Dalits","SC","T1 in.","T2 as.","ELA","Colony","Inc-Dec","DEC-INC","Inc-Inc","Inc-Inc","Inc-Inc","Dec-Dec","Dec-Dec","sbd_dsr_Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_DEC-INC","4"
"7","ELA15","Dalits","SC","T3 in.","T3 as.","ELA","Colony","Sta-Dec","Inc-Inc","Inc-Inc","Inc-Inc","Inc-Inc","Inc-Dec","DEC-INC","sbd_dsr_Inc-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Inc-Inc","4"
"8","ELA16","Middle","Vanniyar","T3 in.","T2 as.","ELA","Ur","Inc-Dec","Dec-Inc","Inc-Dec","Dec-Dec","Inc-Dec","Dec-Inc","Inc-Dec","sbd_dsr_Dec-Dec","sbd_dar_Inc-Dec","sbd_assets_noland_Dec-Inc","5"
"9","ELA17","Dalits","SC","T2 in.","T1 as.","ELA","Colony","Inc-Dec","Inc-Inc","Inc-Inc","INC-INC","Dec-Dec","Dec-Dec","Inc-Inc","sbd_dsr_INC-INC","sbd_dar_Dec-Dec","sbd_assets_noland_Inc-Inc","3"
"10","ELA19","Dalits","SC","T1 in.","T1 as.","ELA","Colony","Dec-Inc","Inc-Inc","Inc-Inc","Dec-Inc","Inc-Inc","Inc-Dec","Inc-Inc","sbd_dsr_Dec-Inc","sbd_dar_Inc-Inc","sbd_assets_noland_Inc-Inc","1"
