HHID_panel,rel_var1,rel_var2,rel_var3
MANAM24,44.444443,16.299021,28.058727
MANAM25,0,0,93.793098
MANAM26,50,83.344307,10.451505
MANAM28,64.220184,0,0
MANAM30,0,0,.13227513
MANAM31,0,0,100
MANAM32,42.372883,5.4215579,25.104147
MANAM33,0,13.474802,0
MANAM37,0,43.475273,12.226776
MANAM38,3.1512606,97.743477,61.201504
MANAM39,0,21.250841,16.888889
MANAM41,58.823528,59.015541,.29673591
MANAM42,0,0,57.087227
MANAM43,35.714287,0,61.338913
MANAM47,0,2.0039291,0
MANAM48,0,42.367435,0
MANAM49,0,2.8094821,81.545067
MANAM5,53.19149,9.4213648,0
MANAM50,0,72.161743,0
MANAM51,0,67.26886,0
MANAM8,0,0,29.853479
MANAM9,0,0,7.8549848
NAT1,0,48.804935,0
NAT10,0,76.33873,0
NAT11,23.529411,0,0
NAT12,0,0,6.1625705
NAT13,0,83.157898,0
NAT15,0,31.198685,0
NAT16,14.285714,29.076925,0
NAT18,0,0,.51813471
NAT20,21.551723,76.286644,1.6255268
NAT26,0,0,61.704544
NAT28,0,11.339286,0
NAT29,0,10.079365,5.2580333
NAT32,0,0,.65851361
NAT33,41.025642,0,44.535389
NAT34,26.666666,0,0
NAT37,0,0,3.4246573
NAT4,0,69.571198,12.814466
NAT43,0,71.544716,0
NAT44,15.625,0,0
NAT45,6.5359478,0,0
NAT46,93.75,17.657993,0
NAT47,0,44.444443,0
NAT48,0,74.092857,0
NAT5,0,97.925575,35.16328
NAT50,15.384615,0,80
NAT6,76.190475,0,0
NAT7,100,0,0
NAT9,0,0,16.142433
ORA1,87.5,32.115944,.16090104
ORA10,0,23.058252,0
ORA12,0,6.5292096,37.471264
ORA14,19.94302,0,0
ORA2,0,100,40
ORA21,58.823528,100,0
ORA22,13.953488,0,0
ORA25,0,0,6.3965883
ORA27,0,79.974731,0
ORA29,34.843204,44.379391,24.497334
ORA30,0,0,.17459625
ORA32,100,100,0
ORA33,14.705882,0,.21306819
ORA35,20,23.813112,0
ORA38,60.869564,0,0
ORA39,0,93.596062,41.847446
ORA40,0,35.929508,0
ORA41,0,56.354229,60.733452
ORA45,63.157894,75.098816,0
ORA46,0,16.666666,77.548302
ORA47,0,13.42396,5.1136365
ORA48,0,90.099716,100
ORA49,0,39.999996,10.465117
ORA52,0,0,15.455842
ORA9,1.3824885,4.7547398,1.3986014
SEM13,0,0,96.79335
SEM15,15.384615,0,0
SEM16,0,0,56.25
SEM17,0,0,1.169844
SEM18,10.526316,20.06319,58.067966
SEM19,0,0,14.438502
SEM2,63.694267,42.203388,2.8169014
