HHID_panel,rel_var1,rel_var2,rel_var3
NAT6,0,66.666672,8.852459
NAT7,0,94.220665,0
ORA1,12.5,0,39.581657
ORA10,0,76.94175,61.825726
ORA14,56.980057,0,21.348314
ORA15,0,0,36.457581
ORA17,74.074074,0,0
ORA18,30.30303,0,0
ORA2,0,0,4.1860466
ORA22,9.3023252,0,0
ORA23,28.40909,0,60.000004
ORA24,0,39.234451,14.361233
ORA25,16.949152,0,0
ORA26,42.857143,0,0
ORA28,0,100,27.563452
ORA30,11.538462,0,0
ORA33,29.411764,0,.78125
ORA35,0,4.747551,19.883041
ORA38,0,0,8.4243374
ORA39,0,6.4039407,31.560532
ORA40,61.162079,0,0
ORA41,96.739128,25.474411,0
ORA43,82.872925,0,0
ORA44,13.333333,0,0
ORA45,10.526316,0,0
ORA46,0,0,10.859426
ORA47,0,86.576042,0
ORA49,0,0,.64599484
ORA51,0,0,2.5
ORA52,0,0,61.894592
SEM10,0,0,59.923298
SEM16,33.333332,0,0
SEM17,0,0,89.471405
SEM18,0,15.007899,0
SEM20,14.705882,0,0
SEM22,27.5,42.857143,0
SEM25,0,0,48.494984
SEM26,0,0,.54200542
SEM27,0,32.315521,54.043392
SEM28,0,0,5.3784862
SEM30,16.438356,0,13.700788
SEM31,4.8543692,0,99.999992
SEM32,0,53.585545,0
SEM34,21.73913,0,0
SEM35,0,70.489975,17.077003
SEM36,54.054054,0,.16694492
SEM39,7.8125,49.947315,31.662994
SEM40,0,0,11.904762
SEM41,17.142857,11.802974,0
SEM42,90,24.960506,.29868579
SEM43,59.523811,0,31.463276
SEM45,100,82.287003,4.6718254
SEM46,0,41.273407,67.346939
SEM47,0,0,92.229614
SEM5,0,0,.22361359
SEM51,0,46.798031,0
SEM52,0,91.843292,16.881874
SEM6,57.142857,0,51.978168
SEM7,41.666668,0,0
SEM9,0,92.902596,12.427747
