HHID_panel,time,panelvar,annualincome,dsr,loanamount,assets_noland,dar,isr,ihs_isr,ihs_dar,ihs_dsr,ihs_loanamount,ihs_annualincome,ihs_assets_noland,euc_annualincome,sbd_annualincome,euc_assets_noland,sbd_assets_noland,euc_loanamount,sbd_loanamount,euc_dsr,sbd_dsr,euc_isr,sbd_isr,euc_dar,sbd_dar,year
ELA52,3,ELA52,38.04348,.30227742,36.5,211.25,.17278107,0,0,5.845181,6.4044952,11.198215,11.239633,12.953945,1,Inc-Dec,2,DEC-INC,1,Inc-Inc,2,Inc-Inc,1,1,4,Inc-Dec,2020
GOV17,1,GOV17,170,1.5009904,443,696.5,.63603735,.32448247,6.4753809,7.1484051,8.0070276,13.694472,12.736701,14.14697,3,Dec-Inc,2,DEC-INC,1,Inc-Dec,2,Dec-Dec,2,3,4,Inc-Dec,2010
GOV17,2,GOV17,85.443039,.24787582,91.199997,47.531643,1.9187218,.18871383,5.9333858,8.2525616,6.206079,12.113957,12.048753,11.462298,3,Dec-Inc,2,DEC-INC,1,Inc-Dec,2,Dec-Dec,2,3,4,Inc-Dec,2016
GOV17,3,GOV17,135.86957,.030851388,24.299999,266.08698,.091323517,.011094963,3.1016631,5.2075853,4.1225915,10.791379,12.512598,13.184726,3,Dec-Inc,2,DEC-INC,1,Inc-Dec,2,Dec-Dec,2,3,4,Inc-Dec,2020
GOV18,1,GOV18,115,.087304346,105,349.5,.3004292,.087304346,5.16258,6.3983622,5.16258,12.254863,12.345835,13.457406,1,Sta-Dec,4,Dec-Dec,3,Inc-Dec,2,Inc-Inc,2,2,3,Inc-Dec,2010
GOV18,2,GOV18,107.72151,.023440676,284.89999,485.18985,.58719283,.020582054,3.7181563,7.068501,3.8480747,13.25304,12.280452,13.785442,1,Sta-Dec,4,Dec-Dec,3,Inc-Dec,2,Inc-Inc,2,2,3,Inc-Dec,2016
GOV18,3,GOV18,30.48913,.1347174,27.4,209.23914,.13095064,.070930764,4.9549012,5.5679822,5.5963402,10.911446,11.018272,12.94438,1,Sta-Dec,4,Dec-Dec,3,Inc-Dec,2,Inc-Inc,2,2,3,Inc-Dec,2020
GOV2,1,GOV2,100,.5543257,170,691.5,.24584237,.11501272,5.4382086,6.1978416,7.0109005,12.736701,12.206073,14.139766,1,Inc-Dec,1,Dec-Dec,1,Inc-Dec,1,Sta-Dec,1,5,3,Inc-Dec,2010
GOV2,2,GOV2,60.759495,.33958331,69.5,95.000008,.73157889,.23541667,6.1545086,7.2883525,6.5208688,11.842229,11.707826,12.154779,1,Inc-Dec,1,Dec-Dec,1,Inc-Dec,1,Sta-Dec,1,5,3,Inc-Dec,2016
GOV2,3,GOV2,54.347828,0,19,154.75543,.12277436,0,0,5.5035119,0,10.545341,11.596307,12.642749,1,Inc-Dec,1,Dec-Dec,1,Inc-Dec,1,Sta-Dec,1,5,3,Inc-Dec,2020
GOV20,1,GOV20,169,.098535992,35,243.5,.14373717,.027465053,4.006393,5.6611457,5.2835946,11.156251,12.730802,13.09602,3,Dec-Inc,1,Dec-Inc,4,Inc-Inc,2,Dec-Dec,1,5,4,Inc-Dec,2010
GOV20,2,GOV20,72.911392,1.7904361,218.39999,72.151901,3.0269473,.12248106,5.5011201,8.708457,8.183362,12.98723,11.890147,11.879676,3,Dec-Inc,1,Dec-Inc,4,Inc-Inc,2,Dec-Dec,1,5,4,Inc-Dec,2016
