HHID_panel,year,dsr_std,dar_std,tdr_std,rfm_std,dailyincome_pc_std,assets_pc_std,lpc_std
ELA30,2010,-.42291504,-.47450811,-.45677617,.18054751,-.37825236,.89330232,-.34084222
ELA30,2016,-.61206007,.22160564,6.2117009,-.17695954,-.32734638,.65551978,-1.4108059
ELA30,2020,.19040929,-.59669203,-.29204756,.34800786,-.4427883,-.47837076,1.1831533
ELA31,2010,.58190739,-.30342254,-.45677617,-.6001417,-.88019562,.23855728,-.49615625
ELA31,2016,-.44577992,1.4878873,-.45677617,.066988178,.81719524,-.69453174,-1.1039467
ELA31,2020,-.57773751,-1.011564,4.1197572,.93055832,-.042442918,-.6111061,-.44125602
ELA32,2016,1.3114074,.89460158,.2271591,-.58364195,.2495124,-.33771431,-.31231266
ELA32,2020,1.5189824,2.6487215,-.45677617,-.88328445,.38811466,-.19061036,.4793216
ELA33,2010,-.51574886,-.51014352,-.45677617,.086260065,-.32204565,-.57539767,.063613601
ELA33,2016,-.54570633,-.66403008,1.8772066,.32297668,-.27663049,-.55707377,-.21627142
ELA33,2020,-.031480309,.71256047,-.10346429,-.49341804,-.50307423,-.56805551,1.1704049
ELA34,2016,-.47621572,-.45084465,-.45677617,-.26336682,-.94709182,-.59390253,-.97578514
ELA34,2020,-.62101424,.50850338,-.45677617,.16321279,.29940534,-.3628256,-.18164273
ELA35,2010,-.59222764,-1.006951,-.45677617,.15861915,-.11460622,-.557423,-.59996539
ELA35,2016,.14585891,.96613264,.044629782,1.2887342,-1.0312121,-.38820758,4.2745962
ELA35,2020,.045127209,-.22602385,-.45677617,.57475191,-.37098792,.17183264,1.0130688
ELA36,2010,-.40650401,-.8778336,-.45677617,.33277839,-.43580523,.30862659,-.055989522
ELA36,2016,-.41772056,2.4906967,-.45677617,-.19906183,.28703043,-.67748797,-.70812958
ELA36,2020,-.51232398,-.91698724,-.45677617,.4071497,.42414942,-.58824915,-.34084222
ELA37,2010,-.48716629,-1.0995044,-.45677617,.35961413,-.39837119,-.48543733,-.66918653
ELA37,2016,.10938779,.93170309,-.45677617,-.24682152,-.73629123,-.65456152,-1.5527931
ELA37,2020,-.29808897,-.41653356,-.45677617,-1.1830062,-.49238864,.054952703,.50393254
ELA38,2010,-.49284574,-.12305209,.83389688,-.38349912,-.33598113,-.52178252,-.36258796
ELA38,2016,-.54158318,-.78580052,-.45677617,-.89107817,-.68828315,-.36844754,-.77604121
ELA38,2020,-.5266248,-.71296954,-.21074131,.17712541,.53313124,.23459026,.34349844
ELA39,2010,-.60592443,-.84692132,-.45677617,.12077453,1.1078707,-.55296206,-.18164273
ELA39,2016,-.15086353,.47331363,.41302454,-.036638863,.63233376,.92801571,-.77604121
ELA39,2020,3.1090109,1.8649409,-.45677617,-1.8511119,-.97583437,.51830393,2.9521682
ELA4,2010,-.18216763,-.90079552,-.45677617,.38824576,.10341008,-.4809671,-.52443033
ELA4,2016,-.57805747,-.11397956,-.45677617,.22642887,1.6430414,-.62403321,-.31231266
ELA4,2020,-.50131106,.047833905,.36217245,.14752726,1.4483315,-.51984817,-.31231266
ELA40,2010,-.44652966,-.13197502,-.45677617,.16351835,-.29242957,1.1726038,.063613601
ELA40,2016,4.6093278,-.06003942,-.45677617,3.1129777,-1.0377052,-.50295788,.17740397
ELA40,2020,-.32165173,.67119771,-.45677617,.57769459,-.025652943,.66516536,.25060907
ELA41,2010,.87854254,1.6425221,.56914335,-.45091313,.21501671,-.4814088,.8467201
ELA41,2016,.042214632,-.82816803,-.45677617,2.2744522,-.86696714,-.4046284,1.0130688
ELA41,2020,.89026821,-.16436882,.031012766,1.6042595,-.80081344,-.53503746,1.2709554
ELA42,2010,.044504553,-.57753164,.90413749,-.17687707,-.51042706,.50752801,.1611449
ELA42,2016,.30139962,1.300772,-.45677617,.22677627,-.70195228,-.52106202,.083504468
ELA42,2020,.17319535,.052514847,1.9370563,.1531778,.18323983,-.13500741,.4793216
ELA43,2010,-.13544664,.12454913,.75567418,-.15026358,-.11980349,.42139906,.1611449
ELA43,2016,.1126144,.044810928,-.45677617,-.84025192,-.015437205,.29534516,.8467201
ELA43,2020,-.4321197,.60872716,-.45677617,-.37807599,.39644751,.57071835,-.18164273
ELA44,2010,1.0315876,-.66400832,-.45677617,.56683075,-.93492573,.41173637,-.055989522
ELA44,2016,-.56797653,-.33327451,-.45677617,.016912835,-.056410879,-.69459248,-1.5527931
ELA44,2020,-.49548846,-.98656511,1.7368273,1.4481884,-.4217051,-.55023533,-.055989522
ELA45,2010,-.4754554,-.70166194,-.45677617,.16846463,-.49425665,.1373893,-.85908842
ELA45,2016,.19323593,-.48805264,-.45677617,.16331206,-.78139895,.36983189,-.59996539
ELA45,2020,.35520014,-.27626088,1.2322472,.19642749,-.61324543,.16781616,.95477325
ELA46,2010,-.58601433,-.66208214,-.45677617,-.17327598,-.25537726,-.45064104,.4793216
ELA47,2016,-.43031546,.99564821,-.45677617,.11336461,-.26304519,.14383058,.083504468
ELA47,2020,5.3989606,2.6487215,-.23300087,-5.1248665,-1.1081096,-.45470995,1.6667728
ELA48,2016,-.56425625,1.7881938,-.45677617,.29023176,.58638817,1.9450455,-.86721796
ELA48,2020,-.43159488,-.26301584,-.45677617,.36412749,1.1004349,1.5636975,1.875083
ELA49,2010,-.41925034,-.49103448,-.45677617,-.10590999,-.27326271,.43553302,-.18164273
ELA49,2016,-.50135082,2.6487215,-.45677617,-.032376334,.13784067,-.69979203,-1.2100055
ELA49,2020,-.54509312,-.78166741,-.45677617,.21416219,.74788308,-.58890212,-.86721796
ELA5,2010,-.18187642,.66865367,-.45677617,.055687644,.18278669,1.0245187,-.34084222
ELA5,2016,-.254971,1.7796564,2.2414558,-.0024632122,.32088608,-.6823377,-.49615625
ELA5,2020,-.46664259,-1.0232667,-.45677617,2.2610798,-.71428841,-.56460959,-.49615625
ELA50,2010,-.5779466,-.69896454,-.45677617,.024689624,.12219606,-.60424852,-.49615625
ELA50,2016,-.44268203,-.97546971,1.9094193,1.6027083,-.55579162,-.52459687,-.85908842
ELA50,2020,-.52791709,-.82248104,-.45677617,.57607436,1.883083,-.16421665,.69564998
ELA51,2016,-.43751651,-.87515879,-.45677617,.76437294,-.036694385,.0022766378,-.49615625
ELA51,2020,-.61070096,-1.0448633,-.18733023,.52157664,1.9388106,-.12168492,1.1704049
ELA52,2010,.035809491,-.74964076,-.45677617,.29740947,-.37341517,-.54627603,-.055989522
ELA52,2016,-.30268073,.017597482,-.45677617,-.18719979,.40273923,-.67809898,-.86721796
ELA52,2020,-.19781068,-.97356528,-.45677617,1.7982976,-.69118816,-.5946635,-.52443033
ELA53,2020,-.24807221,-.74384987,-.45677617,.087841809,-.36134896,.27414531,-.055989522
ELA54,2020,-.087474518,2.6487215,-.45677617,-.5805552,-.54997957,-.61935639,-.11440402
ELA55,2020,-.50224692,-.76060855,1.7196962,.83686107,-.81333154,-.46547443,.62338328
ELA56,2020,-.45178434,-.41921896,.40929085,-.023181286,1.3880575,-.3988744,-.49615625
ELA57,2020,-.18557382,-.87072653,3.2187023,.70649993,-.4779844,-.46053857,.69564998
ELA58,2020,-.59548843,-.93878353,-.45677617,.31162417,3.7616861,-.34046891,.5572077
ELA59,2020,-.52953219,-.85885084,-.45677617,.28063935,1.1753558,-.48689747,.86380631
ELA6,2010,-.61146879,-.7156921,.97218323,.0017598483,-.12385493,.26754075,-.36258796
ELA6,2016,.51560014,-.71993345,-.45677617,-1.6998504,-1.0434345,-.59525281,-.66918653
ELA6,2020,5.3989606,.021826478,-.45677617,-4.6022134,-1.0286481,-.52073485,-.36258796
ELA60,2020,-.52050108,-1.0414757,-.45677617,.35506868,.90518939,.17688853,-.21627142
ELA61,2020,-.43718937,-.36727235,-.45677617,-.071970522,.33783153,-.54778755,1.7836018
ELA62,2020,-.43779734,-.13544099,-.11034768,.15791334,3.7662594,.13916118,1.1895077
ELA63,2020,-.23689555,-.25907207,.67027098,.069503576,-.86250341,.013106854,1.1704049
ELA64,2020,-.088711873,.22098693,1.9807907,.30899036,-.033071067,.14530681,1.5322953
ELA65,2020,-.22281186,-.28820005,-.45677617,.16811031,.87361395,.11044502,2.0228081
ELA7,2010,-.61827511,-.40071777,2.1526279,.13344851,-.073942877,-.60632467,-.66918653
ELA7,2016,-.56281424,-.59698182,-.45677617,.44910297,-.30431661,-.5975644,-.31231266
ELA7,2020,-.46577072,-.36268255,-.45677617,.27395982,-.40542126,-.62594002,1.1704049
ELA8,2010,-.41963905,-1.0956841,1.4103974,.40458137,-.013741588,-.33792749,-.31231266
ELA8,2016,2.6010242,-.43108481,1.3553299,-2.7487979,-1.0812236,-.60182506,.083504468
ELA8,2020,4.0352306,-.050048605,-.45677617,-3.4027824,-.9949919,-.56730211,2.4584067
ELA9,2010,-.60486042,-.44093755,.33709019,-.035369739,.59168959,.36397976,-.18164273
ELA9,2016,-.081195362,2.6487215,-.45677617,-.69238383,-.80593616,-.37044612,-.31231266
ELA9,2020,-.55372465,-.78973061,-.45677617,.80130714,-.7987532,-.41209424,-.97578514
GOV1,2016,-.25511494,.022236731,-.45677617,.047252171,1.4697244,-.356437,-.31231266
GOV1,2020,-.58180439,-1.1310294,-.45677617,.25290677,.34083456,-.41839883,-1.1039467
GOV10,2010,.047797967,-.74405235,-.45677617,.32169327,-.66388631,-.47743362,-.18164273
GOV11,2010,.30363399,-.61319923,-.45677617,-.37873971,-.71271431,.42139906,-.18164273
GOV11,2016,-.16046873,2.6487215,-.45677617,-.067744449,.61839348,-.09587694,1.2709554
GOV11,2020,-.59010905,1.5137138,-.45677617,.024077393,2.7887006,-.5441851,.4793216
GOV12,2016,.41241434,.27343816,-.45677617,-1.2858094,-.33775896,-.25411043,-.70812958
GOV12,2020,-.53875387,-.96249986,-.27495524,1.5580286,-.40245286,-.55948561,2.0625896
GOV13,2010,-.13477874,-.61152905,1.1753685,.46120965,-.10585262,3.8254793,.50393254
GOV13,2016,-.27714568,-.64772725,-.45677617,.40564248,-.26352847,-.60660291,-.31231266
GOV13,2020,-.41253063,1.3426005,-.45677617,.26670855,4.2371006,-.59384638,-.52443033
GOV14,2010,-.46167588,-.17570935,1.543767,-.13628918,.42427933,.4160988,.1611449
GOV14,2016,-.54100966,1.6962569,-.45677617,.18674456,1.7324778,-.037597466,2.5606582
GOV14,2020,-.60694444,-.63761038,-.45677617,-.27617526,-.4667609,-.58645427,2.2178705
GOV15,2016,-.62101424,-.52038497,-.45677617,.022668505,-.52087045,-.32125202,-.31231266
GOV15,2020,-.62101424,-1.1765707,-.45677617,3.1129777,-1.0782303,-.28775334,-1.8955808
GOV16,2016,-.43306017,-.31693414,-.45677617,.73914558,1.1947092,-.41972753,-1.2823837
GOV16,2020,-.47203884,-.74707067,1.5529106,.37495917,.55049437,-.37430233,.5572077
GOV17,2010,1.4433018,.1842294,-.45677617,-.14786313,.71451855,-.20430343,-.49615625
GOV17,2016,-.27399367,.5697881,-.45677617,-.20276175,.15448512,-.65818489,-.31231266
GOV17,2020,-.57782018,-.9388333,-.45677617,.17452835,.21094406,-.55337298,-.081719123
GOV18,2010,-.51692772,.75539505,-.45677617,-.14705954,.08802373,-.45458469,-.21627142
GOV18,2016,-.58819842,-.040397931,-.096324101,.52232271,.12223646,-.45833328,.25060907
GOV18,2020,-.43242896,-.94773871,-.45677617,1.2261726,-.7965728,-.56216061,.50393254
GOV19,2010,-.47124124,-.77740002,-.45677617,.19846323,-.56058532,2.1227269,-.055989522
GOV19,2016,-.4950223,2.6487215,-.45677617,-.41758615,.0015458507,-.69362795,-.31231266
GOV19,2020,.37197855,-.088073932,-.45677617,.34739164,-.51422387,.31515992,.043518744
GOV2,2010,-.12495431,.51559597,-.45677617,-.17892779,.38898456,1.1207182,1.2709554
GOV2,2016,-.14559363,-.50910991,-.45677617,.38140941,-.023177078,-.58798754,-.44125602
GOV2,2020,-.62101424,-1.0171819,-.45677617,.85977602,-.14966276,-.57036901,-.92603105
GOV20,2010,-.56784755,-.83563554,-.45677617,.30838892,1.1357723,-.49156758,-.18164273
GOV20,2016,1.8855956,1.5797648,-.45677617,-1.4148401,-.31213564,-.64966083,-.66918653
GOV20,2020,-.60228819,-.70121026,-.45677617,.17224072,2.6381905,-.57658166,-.92603105
GOV21,2010,-.46916869,-.97177905,-.45677617,.54582697,-.31511524,-.47743362,-.18164273
GOV21,2016,-.37523735,-.46922946,-.45677617,.14811473,-.029918211,-.62532008,-.18164273
GOV21,2020,-.21133393,-.095596209,-.45677617,-.010490273,-.5274052,-.61161011,-1.2100055
GOV22,2010,-.31060052,-.79839057,-.45677617,.61534822,-.22367902,-.39496934,-.36258796
GOV22,2016,.13448247,2.6487215,-.45677617,-.31364718,.93224251,.013324385,-.77604121
GOV22,2020,-.62101424,-1.1765707,-.45677617,.076459751,2.2958121,-.63016665,-1.8955808
GOV23,2010,-.61141425,.1799159,-.45677617,-.099643037,.46952978,-.6316967,-.31231266
GOV23,2016,-.60789263,-1.0284783,-.45677617,.42323267,.18022341,.20074557,-.18164273
GOV23,2020,-.60498905,-1.0226156,-.45677617,.15042554,1.7923173,-.53603357,-.21627142
GOV24,2016,.020118037,-.013862959,-.45677617,.22818488,1.5052453,-.37655833,-1.4108059
GOV24,2020,-.62101424,-.60570264,-.45677617,-.63367027,-.8788048,-.24803376,.043518744
GOV25,2010,.15778251,.023520995,-.45677617,-.21635737,-.65810347,-.51796317,.4793216
GOV25,2016,.69940031,.23742831,-.45677617,.2997227,-.36530584,-.50148624,-.44125602
GOV25,2020,-.55618554,2.6487215,-.45677617,-.92069554,-.64289951,-.62044132,-.44125602
GOV26,2010,-.51430357,-.78567636,-.45677617,.34624666,.033655822,-.16206923,-.52443033
GOV26,2016,5.3989606,.6470955,-.45677617,-5.1248665,-1.1969426,-.28254634,.043518744
GOV26,2020,.83910239,-.33446455,-.45677617,3.1129777,-1.2026247,-.31946003,.043518744
GOV27,2016,-.028370611,-.075260334,-.45677617,1.576031,-.35837683,-.52602446,-.86721796
GOV27,2020,-.62101424,-.28582323,-.45677617,-.28063393,-.68086553,-.61597496,-.70812958
GOV28,2010,-.28970879,-.61402774,-.45677617,.17122488,-.12385493,-.46805483,-.36258796
GOV28,2016,-.5216049,.32578918,-.45677617,.052403744,2.3358984,-.23990168,1.4770035
GOV28,2020,-.28026912,-.56290901,-.45677617,.12886691,1.7646674,-.61005163,.25060907
GOV29,2010,-.012118613,-.43180707,-.17892295,.60619736,-.53562933,.71039927,-.055989522
GOV29,2016,-.62101424,-1.1765707,-.45677617,.73291469,.94088823,.3578909,-1.8955808
GOV29,2020,-.62101424,-.82287079,-.45677617,.8636055,-.94252485,-.011455406,-1.2823837
GOV3,2010,-.14094746,-.69439101,2.5069914,.29677075,-.77549309,1.4443457,-.86721796
GOV3,2016,-.58101577,-.13566995,-.45677617,.27355978,1.5594175,-.30971012,-.52443033
GOV3,2020,-.60275704,-1.0724554,-.26365706,.46558276,1.5530838,-.48976287,1.875083
GOV30,2016,-.31039596,-.46980536,-.45677617,-.35759845,-.69175524,-.38819978,-1.1039467
GOV30,2020,-.62101424,.17919101,2.3591077,.023271548,1.455339,-.60965484,.4793216
GOV31,2010,-.58492059,-.88988328,.56914335,.55493027,-.3290661,1.4633383,.1611449
GOV31,2016,-.048433311,1.8496792,-.45677617,-.036029276,-.12306745,-.66966546,.52829367
GOV31,2020,-.56336927,-.91333824,-.45677617,.19949475,1.5075903,-.62361252,-1.5527931
GOV32,2010,-.47030896,-.11209207,-.45677617,.171257,.13358699,1.1426711,-.21627142
GOV32,2016,-.62101424,-.8468653,-.45677617,2.3694279,-1.1869594,-.27637991,-1.4108059
GOV32,2020,-.62101424,-.56353754,-.45677617,-1.6623774,-1.2004741,-.67136317,-.44125602
GOV33,2010,.064016268,-.6294567,-.45677617,-.20236227,-.69784349,1.3804156,-.66918653
GOV33,2016,-.50181895,.46943846,-.45677617,-.18827541,.1601321,-.67761505,-.36258796
GOV33,2020,-.54394037,-.25658667,-.45677617,.4136866,1.404547,-.37515867,-1.4997637
GOV34,2010,.32157484,.039693467,1.0940324,-.1819644,-.42672202,-.54722011,-.18164273
GOV34,2016,-.62101424,-.70285296,-.45677617,.078291856,.41703036,-.63578296,-.70812958
GOV34,2020,-.594064,-.91118747,-.45677617,.32790855,.72743064,-.62804568,.043518744
GOV35,2010,.80991101,-.33684093,1.0821031,-.21103781,-.77549309,1.3873681,-.18164273
