"","HHID_panel","index2010","index2016","index2020","cluster1","cluster2","cluster3","cluster4","cluster5","cluster6"
"368","SEM42",0.13797143,0.22809403,0.017361181,3,1,3,2,2,2
"369","SEM43",0.051190477,0.032384001,0.037735064,1,2,1,3,3,3
"370","SEM44",0.21128392,0.10893945,0.01197656,1,2,1,3,3,3
"371","SEM45",0.061714284,0.0022176621,0.037721958,1,2,1,3,3,3
"372","SEM46",0.0656,0.071216181,0.017582214,1,2,1,3,3,3
"373","SEM47",0.18136245,0.066400871,0.11914256,1,2,1,3,3,3
"374","SEM48",0.142353,0.0076329699,0.0022475806,1,2,1,3,3,3
"375","SEM49",0.0011111111,0.15415314,0.33381039,2,3,2,1,1,1
"376","SEM5",0.0065454543,0.44464117,0.50208259,3,1,2,1,1,1
"377","SEM51",0.022499999,0.030436644,0.57745153,2,3,2,1,1,1
"378","SEM52",0.00047244094,0.058936995,0.54202437,2,3,2,1,1,1
"379","SEM6",0.065249994,0.35691792,0.04026825,3,1,3,2,2,2
"380","SEM7",0.071598746,0.038195856,0.41566354,2,3,2,1,1,1
"381","SEM8",0.0017142857,0.047090966,0.0048468164,1,2,1,3,3,3
"382","SEM9",0.14069906,0.021512451,0,1,2,1,3,3,3
