"","HHID_panel","index2010","index2016","index2020","cluster1","cluster2","cluster3","cluster4","cluster5","cluster6"
"86","KAR18",0.18571429,0.0032341569,0.33628589,2,3,2,1,1,1
"87","KAR19",0.16167018,0.092253312,0.42486262,2,3,2,1,1,1
"88","KAR2",0.021433963,0,0.1587871,1,2,1,3,3,3
"89","KAR20",0.18402906,0,0.11596136,1,2,1,3,3,3
"90","KAR21",0.0027714286,0.14075933,0.26162815,2,1,2,1,1,1
"91","KAR23",0.071610004,0.24932963,0.11198345,3,1,3,2,2,2
"92","KAR25",0.04184762,0.22151943,0.05411486,3,1,3,2,2,2
"93","KAR26",0.0057406062,0.0021785158,0.02130943,1,2,1,3,3,3
"94","KAR27",0.052325584,0.010430329,0.0064292243,1,2,1,3,3,3
"95","KAR28",0.0014923078,0.002533582,0.017324803,1,2,1,3,3,3
"96","KAR29",0,0.091885798,0.013217196,1,2,1,3,3,3
"97","KAR3",0.074947067,0,0.032935191,1,2,1,3,3,3
"98","KAR30",0.073529206,0,0.31684959,2,3,2,1,1,1
"99","KAR32",0.06064,0.29392013,0.18262459,3,1,3,2,2,2
"100","KAR33",0.00034823531,0.045727465,0.39577219,2,3,2,1,1,1
"101","KAR34",0.017316809,0.0064839385,0.030223235,1,2,1,3,3,3
"102","KAR35",0.01473366,0,0.014576296,1,2,1,3,3,3
"103","KAR36",0.27100614,0,0,1,2,1,3,3,3
"104","KAR38",0.018933333,0,0,1,2,1,3,3,3
"105","KAR42",0.031465001,0.066229731,0.11854826,1,2,1,3,3,3
"106","KAR43",0.10280492,0,0.00928366,1,2,1,3,3,3
"107","KAR44",0.16030948,0.043017328,0.025833884,1,2,1,3,3,3
"108","KAR45",0.047866665,0.5157429,0.090925336,3,1,3,2,2,2
"109","KAR46",0,0,0.052118082,1,2,1,3,3,3
"110","KAR47",0.0033846155,0,0.12363737,1,2,1,3,3,3
"111","KAR48",0.0092518516,0.17777747,0.22659928,2,1,3,2,1,2
"112","KAR49",0.028769817,0.060308684,0.45775923,2,3,2,1,1,1
"113","KAR50",0.26779184,0.025875101,0,1,2,1,3,3,3
