HHID_panel,pca2index2010,m2index2010,pca2index2016,m2index2016,pca2index2020,m2index2020
MANAM48,26.094757,.85920936,31.048571,30.817524,71.064621,141.0041
MANAM49,23.330872,-1.2003223,37.458252,51.91293,27.845392,13.542082
MANAM5,20.213297,-1.0768448,21.919548,1.3166941,31.748539,.64148611
MANAM50,20.617594,4.1083851,19.247219,-15.135684,18.302593,-2.3939865
MANAM51,25.334629,-.43498158,35.483387,34.385326,21.128696,1.793582
MANAM8,24.09631,.42990005,32.148998,21.043047,44.322392,20.364862
MANAM9,23.401316,-.17717874,27.878296,17.269743,36.333553,4.658174
NAT1,27.551895,19.388493,31.446793,21.015583,22.45652,-6.894197
NAT10,18.983101,-24.3148,35.271927,29.506765,28.107544,.75106555
NAT11,21.601295,-5.5986919,31.420023,17.460165,32.65086,40.029762
NAT12,19.076023,.97076076,29.731216,1.2956531,29.913107,-5.9926414
NAT13,24.066803,7.2236958,26.942213,11.307612,30.512833,37.090336
NAT14,23.210485,2.1369865,28.280285,23.366823,18.965229,-8.1142635
NAT15,19.305857,-2.9368627,24.081676,6.3004966,37.214943,28.36841
NAT16,22.709579,1.1384065,27.071592,7.5944304,42.900524,62.763103
NAT17,22.717793,-1.0393684,19.004807,-5.771286,28.059542,6.4772358
NAT18,25.094456,3.300941,22.486528,7.6021738,31.711969,4.8825598
NAT19,24.324348,4.4413071,24.921835,3.6852262,35.576012,36.253574
NAT2,21.051552,-11.27416,43.307758,52.656136,34.244133,25.003578
NAT20,29.237387,12.642139,43.355267,44.105858,41.7668,31.644753
NAT24,23.441931,.88641751,33.689182,41.541042,39.176746,50.764458
NAT26,31.859188,28.592266,24.088039,5.3752084,27.308001,18.788408
