HHID_panel,pca2index2010,m2index2010,pca2index2016,m2index2016,pca2index2020,m2index2020
SEM40,26.565437,4.8636956,36.830711,36.544827,38.553547,-6.5689588
SEM41,23.014786,-3.9413021,25.155828,12.633039,21.271137,3.8523955
SEM42,36.84906,38.538654,26.392313,9.1928654,34.313965,5.8387904
SEM43,33.248455,36.357143,29.82313,24.297915,31.866373,7.4470334
SEM44,34.962086,42.497578,30.824078,25.52833,20.839952,-3.3430586
SEM45,24.989462,15.325733,21.110081,4.009851,28.035086,-2.3790894
SEM46,23.080029,4.2588792,27.814508,12.634024,29.803682,7.4371376
SEM47,38.674587,44.978592,24.134485,7.8181615,43.654327,48.037407
SEM48,31.435894,32.957584,19.252544,-5.7354708,28.966494,-4.8724384
SEM49,23.603859,1.3965515,31.221882,39.592167,46.92168,47.84148
SEM5,21.111141,2.1944358,62.663063,143.40918,51.522236,74.68808
SEM51,23.692499,3.977206,29.187908,13.192042,72.711403,170.42712
SEM52,21.586071,1.1687001,21.768093,-2.0929914,70.208801,148.07451
SEM6,23.271393,5.4559894,31.324276,14.549934,29.969393,10.873938
SEM7,28.273716,12.020228,33.309559,31.298086,52.129589,113.60143
SEM8,20.366047,-3.0535419,26.576429,15.905747,26.254589,11.050522
SEM9,27.384048,15.128926,26.001703,13.420899,43.801384,19.480749
