"","HHID_panel","year","dsr_std","dar_std","tdr_std","afm_std","dailyincome_pc_std","assets_pc_std","lapc_std","dailyincome_pc_std","assets_pc_std","dsr_std","dar_std","afm_std","tdr_std","lapc_std","clust"
"29","ELA18",2020,-0.28728577,0.42039114,-0.37080789,-0.12379382,0.11241628,-0.64904213,-0.59679753,0.11241628,-0.64904213,-0.28728577,0.42039114,-0.12379382,-0.37080789,-0.59679753,"4"
"30","ELA19",2010,-0.51803064,-1.0109736,-0.45677617,-0.58999383,-0.65237927,-0.6251654,-0.81463474,-0.65237927,-0.6251654,-0.51803064,-1.0109736,-0.58999383,-0.45677617,-0.81463474,"2"
"31","ELA19",2016,-0.61892951,2.6487215,-0.45677617,-0.32584333,-0.42586026,-0.41772777,0.6634832,-0.42586026,-0.41772777,-0.61892951,2.6487215,-0.32584333,-0.45677617,0.6634832,"4"
"32","ELA19",2020,-0.351219,-0.548347,-0.45677617,0.22238021,-0.21214932,0.077518485,-0.12023738,-0.21214932,0.077518485,-0.351219,-0.548347,0.22238021,-0.45677617,-0.12023738,"2"
"33","ELA2",2010,-0.33336428,-0.74885452,-0.45677617,0.079402506,0.92429817,3.8451741,-0.34188068,0.92429817,3.8451741,-0.33336428,-0.74885452,0.079402506,-0.45677617,-0.34188068,"2"
"34","ELA2",2016,-0.54624581,2.6487215,-0.45677617,1.2803187,2.3888049,1.4091344,2.4375448,2.3888049,1.4091344,-0.54624581,2.6487215,1.2803187,-0.45677617,2.4375448,"4"
"35","ELA2",2020,-0.49353847,0.71441799,-0.45677617,0.82783282,1.1247094,1.3963847,2.0065029,1.1247094,1.3963847,-0.49353847,0.71441799,0.82783282,-0.45677617,2.0065029,"1"
"36","ELA20",2010,-0.42440206,-0.57527649,-0.45677617,0.10468737,-0.23420042,1.4160777,-0.39522827,-0.23420042,1.4160777,-0.42440206,-0.57527649,0.10468737,-0.45677617,-0.39522827,"2"
"37","ELA20",2016,1.637741,-0.17903996,-0.45677617,-1.4201629,-0.75395298,-0.51937181,0.12034754,-0.75395298,-0.51937181,1.637741,-0.17903996,-1.4201629,-0.45677617,0.12034754,"4"
"38","ELA20",2020,5.3989606,0.94508106,-0.45677617,-1.4123884,-1.0932249,-0.46396774,0.49172956,-1.0932249,-0.46396774,5.3989606,0.94508106,-1.4123884,-0.45677617,0.49172956,"4"
"39","ELA21",2010,-0.46107888,0.035097163,-0.45677617,-0.40399152,-0.44204426,0.66101724,-0.404302,-0.44204426,0.66101724,-0.46107888,0.035097163,-0.40399152,-0.45677617,-0.404302,"2"
"40","ELA21",2016,-0.27061841,-0.32942823,0.87026209,-0.56285828,0.55212075,-0.082964391,0.12915583,0.55212075,-0.082964391,-0.27061841,-0.32942823,-0.56285828,0.87026209,0.12915583,"3"
"41","ELA21",2020,-0.62101424,-1.0706185,1.7662199,0.62454158,-0.45148885,-0.5923031,-0.74709356,-0.45148885,-0.5923031,-0.62101424,-1.0706185,0.62454158,1.7662199,-0.74709356,"3"
"42","ELA22",2010,-0.50278413,1.0066319,-0.45677617,-0.29121011,-0.29106027,0.22882515,-0.36268783,-0.29106027,0.22882515,-0.50278413,1.0066319,-0.29121011,-0.45677617,-0.36268783,"4"
"43","ELA22",2016,-0.56999731,0.35794625,0.32773596,0.74436194,0.90724063,-0.58120143,-0.20755593,0.90724063,-0.58120143,-0.56999731,0.35794625,0.74436194,0.32773596,-0.20755593,"2"
