hhid	ass1	ass2
KOR18	1474303	494100
KOR19	294186.97	1794400
KOR2	50522	150000
KOR20	4298139	2758000
KOR21	1174186.9	2194800
KOR23	697443	2252900
KOR24	17494650	12813700
KOR25	130350.01	677100
KOR26	250696.98	288800
KOR27	1578604	1290500
KOR28	387675.03	2451300
KOR29	1607791	592700
KOR3	291978	2629800
KOR30	128490.01	414900
KOR31	1907093.9	870400
KOR32	171396	221800
KOR33	8775581	9850300
KOR34	264884	587900
KOR35	458839	674800
KOR36	189825	1177800
KOR37	3195349.8	1564800
KOR38	581395.94	755100
KOR39	3263722	3383019
KOR4	754884.94	1508600
KOR40	1749419.9	405600
KOR41	909651	1213900
KOR42	3768488	516400.03
KOR43	9602092	1604100
KOR44	932907	2513800
KOR45	281513	244500
KOR5	1650582	1677900
KOR6	409302	827800
KOR7	4418489.5	4596800.5
KOR8	532907	447908
KOR9	343489	744300
KUV1	57506	546407.94
KUV11	1710059	391000
KUV12	349187	291500
KUV13	197442.02	1366700
KUV14	1143541	313800
KUV15	26686	379600
KUV17	114592.99	297400
KUV18	68280.008	978700
KUV19	484476	728800
KUV2	62989	214400
KUV20	185870.98	835000
KUV21	966626.94	1505800
KUV22	1943371	379900
KUV23	489476	776000
KUV24	107731.99	265000
KUV26	2521513	2866100
KUV27	4234419	2110600
KUV28	227790.98	2717900
KUV29	537907	394300
KUV3	212907.98	590100
KUV30	13778.999	407700
KUV31	36163	328500
KUV32	529593	813400
KUV33	290872	825000
KUV34	2121394.8	1834800
KUV35	21104	410500
KUV37	4262849	2084500
KUV38	862325	461500
KUV39	1686861.1	602800
KUV4	1792908	1154300
KUV40	1788838	1472108
KUV41	2121628	2365500
KUV42	406628	989600
KUV43	229311	998600
KUV44	743836.94	1326500
KUV45	1677326	1661500
KUV46	151860	180000
KUV47	61628.004	95400
KUV48	2810814	626550
KUV5	1449418	553300
KUV50	67675	277500
KUV51	741859	812500
KUV52	1993314.3	1142200.1
KUV6	3471687	2690308
KUV7	58372	1089900
KUV9	1769476.9	1337100
MAN1	398256	351200
MAN10	202675	433000
MAN11	199884	586400
MAN12	150872	378300
MAN13	203024	492000
MAN14	821859.94	407900
MAN15	813720.06	306100
MAN16	425116	502000
MAN17	126977.01	275000
MAN18	6264302	3495000
MAN19	1479184.9	1085000
MAN2	1231279.9	350800
MAN20	1396336.9	822500
MAN21	328371.97	260000
MAN22	868721	413000
MAN23	13953	239000
MAN24	209884	406600
MAN25	9419	451900
MAN26	22210	256799.98
MAN27	404826	400000
MAN28	1750813.9	302700
MAN3	372442	1346000
MAN30	1665697	365200
MAN31	269187	375000
MAN32	257094	251000
MAN33	90698	292500
MAN34	136977	167600
MAN37	19418	290900
MAN38	23314	372050
MAN39	260463.98	223500
MAN4	945988.94	2277600
MAN40	191395	411699.97
MAN41	1154885	463099.97
MAN42	2603488	7807400
MAN43	53837	332500
MAN44	89303	296400
MAN45	731395	1266400
MAN46	1973372	3068500
MAN47	221627	379500
MAN48	465698	402908
MAN49	87790	518900.03
MAN5	513779	633200
MAN50	86977	256299.98
MAN51	801745	1450000
MAN52	836511.06	460000
MAN6	2013081.9	2639100
MAN8	223720	263800
MAN9	20289.998	473800
MANAM1	172326	412000
MANAM10	265814	401600
MANAM11	8247209	6868400
MANAM12	534651	3245300
MANAM13	373256	862100
MANAM14	1759419.1	654700
MANAM15	241396.03	470600
MANAM16	800001	413200
MANAM17	763489	1728700
MANAM18	859418	296300
MANAM2	230697	118700
MANAM20	738488	679000
MANAM21	1328256	1539800
MANAM22	2973839.8	226800
MANAM23	131047	469600
MANAM24	1184651	2059800
MANAM25	234070	205500
MANAM26	484186.97	465400
MANAM27	4591859.5	4403807.5
MANAM28	9419	276300
MANAM29	3356396	5344000
MANAM3	315582	428500
MANAM30	2458255	482100
MANAM31	11109884	9719800
MANAM32	2108605.3	2110000
MANAM33	391580.03	336600
MANAM35	355697	298900
MANAM36	9299418	17242800
MANAM37	1617209	1241600
MANAM38	136745	284200
MANAM39	488256	373100
MANAM4	6175117	6741500
MANAM41	819824.94	1846900
MANAM42	451279	571800
MANAM43	193025.02	368000
MANAM44	285116	512500
MANAM45	172325.98	825700
MANAM46	373314.03	200000
MANAM47	712267.94	322700
MANAM48	353722	286000
MANAM49	347673.97	242150
MANAM5	490930	488200
MANAM50	5181628	9232400
MANAM51	232675.02	1638100
MANAM6	6117327	8278008
MANAM7	257093.02	98200
MANAM8	424419	1090308.1
MANAM9	2310466	2325000
NAT1	316047.03	1206000
NAT10	561788	1112400
NAT11	662150	216000
NAT12	1108474	1494000
NAT13	61210	120200
NAT14	18198	303900
NAT15	431672	265500
NAT16	296827	507800
NAT17	1885697	1761800
NAT18	301536.03	474500
NAT19	1200581.9	624000
NAT2	547558.06	348600
NAT20	402906.97	607600
NAT21	356977.03	329800
NAT22	596629	799700
NAT23	256919	131000
NAT24	742441.94	1718200
NAT26	388024.03	265000
NAT27	367559	399500
NAT28	2503140.8	1230400
NAT29	1148955	1664500
NAT30	1338489	3724500
NAT31	155291	684000
NAT32	196046	334100
NAT33	808952	2328400
NAT34	368254.97	1897800
NAT36	582617	294800
NAT37	588547	918800
NAT38	94303	76000
NAT39	6503488.5	3179800
NAT4	611511	188900
NAT40	931976	1360600
NAT41	5381063.5	7954800
NAT42	185234	1082200
NAT43	186638.02	28600
NAT44	1683838	1598900
NAT45	4127790	4780000
NAT46	303785	214600
NAT47	3880582.3	6947800
NAT48	5045348.5	8570500
NAT49	86977	241500
NAT5	8210582	4234600
NAT50	310408.03	409800
NAT51	2996279	2209000
NAT6	366745	94900
NAT7	1801569.9	2510400
NAT8	327675.03	615500
NAT9	942324.94	501800
ORA1	1626512	767800
ORA10	465291	381200
ORA11	1420523.8	663600
ORA12	339709	104000
ORA13	102908.01	346700
ORA14	3934302	724949.94
ORA15	907325.06	314300
ORA16	526628.94	310500
ORA17	218720	535100
ORA18	2808896.8	1098500
ORA19	379244	194500
ORA2	102673.99	401000
ORA20	384069	324500
ORA21	823604	272100
ORA22	861627.94	2080000
ORA23	23923926	17326800
ORA24	110464	720000
ORA25	343719.97	2372400
ORA26	720929.94	145000
ORA27	1118242	1317300
ORA28	481745	831000
ORA29	383735.03	808600
ORA3	89244.992	424200
ORA30	244244	2214300
ORA31	190814	298000
ORA32	323694	437200
ORA33	791975	634100
ORA34	272791	265000
ORA35	313255.97	608700
ORA36	581628	864100
ORA38	772209	1342000
ORA39	162326	354800
ORA4	1630929.8	4974000
ORA40	155582	229000
ORA41	558662.94	1302100
ORA42	17361704	16679000
ORA43	741046	492200
ORA44	213488.98	815500
ORA45	385814	439000
ORA46	226455	299200
ORA47	691337.06	642000
ORA48	234418.98	168300
ORA49	151743.98	214000
ORA5	113257	808500
ORA50	53231	44200
ORA51	190698.02	470000
ORA52	40698	452100
ORA6	237093	138500
ORA7	202500	280000
ORA8	2188372	3328800
ORA9	4646513	6435000
SEM1	1115930	589200
SEM10	962558	174400
SEM11	96163	379800
SEM12	539418	536200
SEM13	610814	254380
SEM14	3531977	3608800
SEM15	181163	1666000
SEM16	1343489	1121000
SEM17	1489768	464100
SEM18	473953.97	361100
SEM19	44244.004	252100
SEM2	388023	379300
SEM20	176396.02	114600
SEM21	768023	279300
SEM22	245349	118000
SEM23	305929	632200
SEM24	7409186.5	163900
SEM25	586046	1723600
SEM26	1460058.9	1282100
SEM27	1633256	271600
SEM28	704592.94	6940600
SEM29	439302	334600
SEM3	1703837.9	1059400
SEM30	2121744.8	1223000
SEM31	1050349	918500
SEM32	868022.94	342900
SEM33	3190465	10183000
SEM34	4070.0002	99900
SEM35	791046	1376100
SEM36	1264533.9	384800
SEM37	1544766.1	4079300
SEM38	644535.06	356000
SEM39	288488.97	806000
SEM4	178605	311500
SEM40	6328953	8519100
SEM41	809302.06	559500
SEM42	475466	2756000
SEM43	1128256	1446960
SEM44	75698	680000
SEM45	361454	1325200
SEM46	1205580.9	555600
SEM47	488837	424800
SEM48	406861.03	631600
SEM49	1250580.9	1412400
SEM5	248604	457800
SEM50	200931	246500
SEM51	378721	219000
SEM52	1353140	253900
SEM6	425582	243500
SEM7	51047	167300
SEM8	1135465.1	449700
SEM9	591627	24600
