hhid	ass1	ass2
ELA1	326861	457600
ELA10	501395	228000
ELA11	835813.06	241600
ELA12	137209	121408.01
ELA13	282559	847000
ELA14	64070	121900
ELA15	13040232	1617700
ELA16	148372	476000
ELA17	758139	966900
ELA18	181511	135200
ELA19	674941.06	1833700
ELA2	4922035	4385500
ELA20	391278.97	437800
ELA21	1123953	209800
ELA22	294186	702600
ELA23	308022.97	120500
ELA24	468952.97	1144600
ELA25	1670349	1754100
ELA26	447210	485000
ELA27	680698	1747900
ELA28	2968662.8	1158000
ELA29	1514768.1	1980800
ELA3	499361	830600
ELA30	2003836	585900
ELA31	21860	284500
ELA32	667150	950900
ELA33	387326	322800
ELA34	264535	723700
ELA35	331744	1295400
ELA36	53722	330800
ELA37	108606	1588900
ELA38	861918.94	2404700
ELA39	4165291	1804200
ELA4	149999	341000
ELA40	569301.94	3203700
ELA41	447675	315100
ELA42	337209	1042199.9
ELA43	2085639.9	2679700
ELA44	25116	369800
ELA45	2964651.8	2412100
ELA47	1532442	456000
ELA48	5518429	4743500
ELA49	14302	247300
ELA5	62210.004	365400
ELA50	504419	1502700
ELA51	1808371.9	1375300
ELA52	59419.004	234800
ELA6	260465	433000
ELA7	197267	190000
ELA8	189652	251599.98
ELA9	606279	687500
GOV1	641046.94	520000
GOV11	1103604	297100
GOV12	815988.06	276500
GOV13	182559	117500
GOV14	1409768	127200
GOV15	696045.94	617000
GOV16	674069.94	812008
GOV17	92442	426400
GOV18	578954.06	309000
GOV19	28836.998	1505000
GOV2	183023.02	200750
GOV20	138139	191600
GOV21	179884	198000
GOV22	1840698.1	138000
GOV23	1890930	441300
GOV24	499418	676000
GOV25	302674	127500
GOV26	624884	575300
GOV27	377556.97	166600
GOV28	1093256	228000
GOV29	2819767.8	1624000
GOV3	833139	458800
GOV30	584069	179000
GOV31	55232.996	173000
GOV32	633372	53500
GOV33	69884.992	598000
GOV34	128603.99	116800
GOV35	404535	471000
GOV37	736627	324500
GOV38	319302	325400
GOV39	192443.02	180100
GOV4	88605	721000
GOV40	671860.94	314500
GOV41	259418	563000
GOV42	8788487	9416500
GOV43	1073023.1	313200
GOV44	1985466	261799.98
GOV45	501163	303200
GOV46	170930.02	779500
GOV48	6197093	7563300
GOV49	4111860.3	3270800
GOV50	82094	219400
GOV51	1104535	1981000
GOV52	944186	2403800
GOV6	706975.94	441200
GOV7	717325	474800
GOV8	7009651.5	6506000
KAR1	1505699.1	1328500
KAR10	3014884	1113300
KAR11	7196047.5	5161900
KAR12	728139	875500
KAR13	163952.98	319000
KAR14	1086047	575400
KAR15	395755.97	221800
KAR17	732442	1182600
KAR18	130116.02	117600.01
KAR19	290116	636300
KAR2	636162	525600
KAR20	375582	171300
KAR21	205814	134508
KAR22	118615	1199200
KAR23	343616	504000
KAR24	14262790	2111000
KAR25	1024767.1	12460200
KAR26	2030467	5739200
KAR27	15695697	5784100
KAR28	196627.98	211600
KAR29	220931	333800
KAR3	2093023	1531000
KAR30	984419	668000
KAR31	2146046.3	2475800
KAR32	213140	335300
KAR33	143197	234700.02
KAR34	184303.02	451500
KAR35	7768255.5	4752500
KAR36	3777791	4965800
KAR37	153314	298900
KAR38	3624535	4436800
KAR39	236162.02	416700
KAR4	3231978	3804500
KAR40	330930	1267100
KAR41	106047	327800
KAR42	322035	396000
KAR43	1344070.1	1837500
KAR44	2684070	2739800
KAR45	480175	1999500
KAR46	959185	1349200
KAR47	204301.02	351300
KAR48	1788257	961700
KAR49	255001	989400
KAR5	144186	1163100
KAR50	58430.004	161006
KAR6	130581.01	260500
KAR7	306975.97	213308
KAR8	136395	310400
KAR9	310349	321908
KOR1	1530581.9	1675700
KOR10	977093	900100
KOR11	4474768.5	2995300
KOR12	3042560.3	4867105
KOR13	1106278.9	839300
KOR14	1390116	1224900
KOR15	176976	1046299.9
KOR16	1187906	1040300.1
KOR17	1656163.9	447700
