hhid	inc1	inc2
MANAM18	5310.0835	6445
MANAM2	3662.8	876.66669
MANAM20	4872.6431	4517.0371
MANAM21	3895.3333	18593.334
MANAM22	1755.8167	1728.3334
MANAM23	542.625	809.33337
MANAM24	947.1875	4026.5383
MANAM25	5317.354	2125
MANAM26	7189.9165	1416.9445
MANAM27	1991.2709	769.4444
MANAM28	6395.3335	1966.6666
MANAM29	7136.625	13391.667
MANAM3	1125.5555	1593.3334
MANAM30	2566.75	2752.9167
MANAM31	1453.4791	277.77777
MANAM32	3275.2	1796.875
MANAM33	2670.5334	600
MANAM35	1116.2833	1156
MANAM36	4844.958	4416.6665
MANAM37	3626.4583	5207.5
MANAM38	4883.7168	11583.333
MANAM39	5096.8892	2180
MANAM4	2041.3473	2250
MANAM41	5193.7915	2680.9524
MANAM42	1310.0833	2064
MANAM43	1666.6666	7138.8887
MANAM44	11201.556	3175
MANAM45	12044.569	1915.9722
MANAM46	991.13092	266.66666
MANAM47	3884.0417	1777.7778
MANAM48	1974.8083	861.11108
MANAM49	1031.9791	1541.6666
MANAM5	4285.7144	3966
MANAM50	1976.7334	6066.667
MANAM51	6434.1113	11726.667
MANAM6	3116.9307	2638.8889
MANAM7	1928.2916	1233.3333
MANAM8	2897.2917	11035
MANAM9	2551.676	2729.1667
NAT1	1662.7834	1065
NAT10	1028.5834	3695.8333
NAT11	804.25	938.88892
NAT12	3690.4063	2709.5237
NAT13	744.11108	454.16666
NAT14	3779.0625	3125
NAT15	1877.0714	1762.5
NAT16	1342.881	2104.2856
NAT17	1090.1041	2814.5833
NAT18	2296.5417	5203.5713
NAT19	956.0694	2169.1667
NAT2	2629.1946	3593.3333
NAT20	603.20831	3338.5417
NAT21	2562	4264.5835
NAT22	2264.2222	3872.2224
NAT23	2293.2778	3663.3333
NAT24	524.875	1306.6667
NAT26	2577.5417	1911.1112
NAT27	7020.3335	2244.4446
NAT28	2358.2083	4443.333
NAT29	1584.3055	1532.3612
NAT30	4920.917	9627.7783
NAT31	2117.2395	3350
NAT32	1996.1388	2437.5
NAT33	1191.875	3557.1428
NAT34	6015.5	689.33337
NAT36	2975.2917	1695.8334
NAT37	1834.3334	6513.3335
NAT38	1702.6547	2094.4446
NAT39	9623.5625	250
NAT4	1578.25	905.5556
NAT40	4738.375	1276.0416
NAT41	4965.1167	5563.333
NAT42	8691.8545	8556.25
NAT43	1595.6112	970.83331
NAT44	1005.3333	3615
NAT45	5600.7832	3458.3333
NAT46	2358.7856	2630.9524
NAT47	6589.1499	2172.2222
NAT48	10813.958	133.33333
NAT49	8720.917	4083.333
NAT5	5135.646	3350
NAT50	3753.5	3960.4167
NAT51	4279.7222	10072.666
NAT6	790.68335	864.58331
NAT7	1036.8334	1259.7223
NAT8	3990.6389	867.5
NAT9	1532.2084	1314.5834
ORA1	1821.6833	1174.1666
ORA10	5348.8335	8575.5557
ORA11	2656.9666	1625
ORA12	2222.2222	837.5
ORA13	2325.5833	4366.6665
ORA14	2172.1528	504.16666
ORA15	2779.0667	1648.8888
ORA16	1767.4333	285.41666
ORA17	1531.9722	1040.8334
ORA18	3495.625	4099.833
ORA19	1614.3333	3886.6667
ORA2	2252.9167	1750
ORA20	2691.375	2713.8889
ORA21	14583.333	1550
ORA22	5729.9722	11570.556
ORA23	17618.039	5833.333
ORA24	1138.5625	6700
ORA25	387.60416	1590
ORA26	3009.6917	363.88889
ORA27	2923.125	5710
ORA28	1085.2667	1693.3334
ORA29	1299.8214	2038.7037
ORA3	1908.4333	2462.5
ORA30	998.06671	252.33334
ORA31	2261	3678.3333
ORA32	4186.0332	1843.8541
ORA33	6705.4165	2181.25
ORA34	441.85001	946.66669
ORA35	2817.8335	5209.0474
ORA36	944.77081	6404.1665
ORA38	1954.1388	3530.5557
ORA39	1523.9028	2245.238
ORA4	4972.9165	4487.5
ORA40	704.1319	1109.7223
ORA41	2160.8501	6579.6299
ORA42	4844.9585	1574.0741
ORA43	922.96875	4053.75
ORA44	4384.7085	3345.8333
ORA45	2848.8333	1822
ORA46	1049.4333	4685.4165
ORA47	1581.3959	4945.8335
ORA48	2693.7778	4710.4165
ORA49	1596.9	1176.6667
ORA5	672.48334	4060.6665
ORA50	1510.3334	1763.8888
ORA51	944.75	675
ORA52	2829.45	1906
ORA6	2167.3054	2365
ORA7	980.05951	863.09521
ORA8	1635.1666	6469.1665
ORA9	6782.9165	6916.6665
SEM1	5361.7642	2395.8333
SEM10	2829.4443	274.72223
SEM11	3469	635.41669
SEM12	2564.6018	7083.3335
SEM13	4856.6108	2935.3999
SEM14	3193.8	5610
SEM15	1434.1	6093.333
SEM16	2906.9792	9694.4443
SEM17	16899.193	3516.6667
SEM18	6217.6802	3066.6665
SEM19	4396.8125	3645.8333
SEM2	2545.2222	973.33331
SEM20	3580.4167	8541.667
SEM21	1744.1875	3125
SEM22	1104.6666	1175
SEM23	1109.5	1231.6666
SEM24	3890.5	3187.5
SEM25	912.79999	1163.3333
SEM26	1572.9862	2439.9333
SEM27	3444.7917	1220.8334
SEM28	3874.8979	1815.8334
SEM29	775.19446	2533.3335
SEM3	2761.625	1490
SEM30	7788.271	2933.3333
SEM31	3599.802	829
SEM32	2296.5139	2875
SEM33	1224.1666	530.55554
SEM34	7664.7222	2916.6667
SEM35	2697.6665	1466.6667
SEM36	8289.7295	2116.6667
SEM37	2906.9583	3500
SEM38	799.40277	1258.3334
SEM39	675.06946	400
SEM4	5410.1943	2476.6665
SEM40	1598.8334	6041.6665
SEM41	1389.5333	593.33337
SEM42	1092.1786	3675
SEM43	10206.722	11415.556
SEM44	6046.5	4405.5557
SEM45	2918.9038	1717.4242
SEM46	2800.3889	2840
SEM47	1499.9833	1533.3334
SEM48	4881.5557	6369.167
SEM49	1060.0833	891.66669
SEM5	1782.9375	860
SEM50	2491.6907	3864.6667
SEM51	2684.0833	383.33334
SEM52	5542.625	616.66669
SEM6	1837.2	1590.2778
SEM7	5400.5278	208.33333
SEM8	2519.375	2604.1667
SEM9	1448.2046	6875
