hhid	inc1	inc2
ELA1	1531.3833	1861.6666
ELA10	3769.3889	6263.8887
ELA11	3232.5334	344.44446
ELA12	7751.9585	1666.6666
ELA13	1197.6667	5700
ELA14	6589.146	2690.4763
ELA15	9860.4502	1491.6666
ELA16	7848.8335	5562.5
ELA17	3186.0334	3174.3335
ELA18	2254.25	3312.6667
ELA19	2147.2666	2498.3335
ELA2	8860.4668	6531.25
ELA20	1296.0209	408.33334
ELA21	5620.1665	2444.4446
ELA22	5224.7998	2106.6665
ELA23	1368.2167	2677.7778
ELA24	4142.4165	1457.6388
ELA25	1429.2709	1472.9166
ELA26	2180.25	508.33331
ELA27	5143.4165	53611.309
ELA28	4961.229	570.83331
ELA29	3313.9443	4877.7778
ELA3	2203.7739	4661.9048
ELA30	3664.75	1775.7778
ELA31	6459.9448	2291.6667
ELA32	4661.5	5330.5557
ELA33	2117.5696	1850
ELA34	674.41663	4221.875
ELA35	1046.5	4806.6665
ELA36	4780.3608	3419.0476
ELA37	1333.0834	2025.4166
ELA38	1292.3195	3951.3889
ELA39	4476.7358	1164.5834
ELA4	9076.2217	8555.5557
ELA40	382.05954	2990
ELA41	1377.1666	1586.1112
ELA42	1647.2778	4652.7778
ELA43	3310.0833	4551.0415
ELA44	3197.6667	1966.6666
ELA45	913.61908	1342.8572
ELA47	3037.7224	500
ELA48	4961.229	6443.75
ELA49	3730.625	5412.5
ELA5	3456.0693	1138.8889
ELA50	1381.5	7068.4526
ELA51	2655.0417	7901.3335
ELA52	4457.375	2500
ELA6	437.98334	591.66663
ELA7	3036.1667	2073.3335
ELA8	445.7222	831.11108
ELA9	1705.3888	1040
GOV1	8527.1387	4958.3335
GOV11	7768.0835	12725
GOV12	2801.0557	2711.1111
GOV13	3036.1667	30500
GOV14	8105.604	6150
GOV15	2220.9446	558.33331
GOV16	6162.7832	4406
GOV17	4360.4722	3690.4763
GOV18	3531.0168	1272.9166
GOV19	3875.9724	2958.3333
GOV2	4651.1665	4166.6665
GOV20	2232.55	15000
GOV21	3270.3542	1908.3334
GOV22	4825.5835	11161.11
GOV23	3907.4583	6762.5
GOV24	10581.375	1333.3334
GOV25	3493.2083	2250
GOV26	96.916664	1241.6666
GOV27	2369.1875	1716.6666
GOV28	8885.666	7356.6665
GOV29	5022.6108	1020
GOV3	7630.8125	7697.9165
GOV30	1679.6112	9550
GOV31	4263.5835	7500
GOV32	2655.0833	666.66669
GOV33	3391.4668	8333.333
GOV34	5192.1943	7616.6665
GOV35	3917.9724	5990
GOV37	4472.8667	7666.6665
GOV38	2403.0833	5122.6187
GOV39	872.08331	1416.6666
GOV4	3201.55	8833.333
GOV40	4234.5	4916.6665
GOV41	3268.75	10000
GOV42	10155.033	3150
GOV43	8731.6338	6163.333
GOV44	8328.4863	3000
GOV45	5710.6113	3300
GOV46	3746.7776	10208.333
GOV48	7206.0698	327.77777
GOV49	5348.833	2650
GOV50	3139.5417	4041.667
GOV51	1187.7024	8091.666
GOV52	2277.125	12091.667
GOV6	1913.7778	1500
GOV7	2325.625	1833.3334
GOV8	2643.4165	2582
KAR1	566.86115	7291.6665
KAR10	5591.0835	4657.5
KAR11	12887.583	3281.25
KAR12	1046.5	2292.6665
KAR13	860.46667	2100
KAR14	4770.4229	757.57574
KAR15	2744.8333	858.33331
KAR17	2054.2917	1795.8334
KAR18	3617.25	991.66669
KAR19	930.25	1384.1112
KAR2	4114.9722	54472.223
KAR20	1589.1528	677.77777
KAR21	852.70831	1212.5
KAR22	4483.1943	4262.5
KAR23	1224.8	5291.667
KAR24	3851.75	7678.5713
KAR25	968.98608	22361.111
KAR26	1553.1547	9360
KAR27	7432.1665	15263.81
KAR28	1569.7638	2459.7222
KAR29	4356.583	2387.5
KAR3	4202.6548	2130
KAR30	3189.4167	1541.6666
KAR31	3992.25	696.66663
KAR32	4622.0835	2945.8333
KAR33	1211.25	4105.5557
KAR34	3735.4583	2040
KAR35	5422.4834	8791.667
KAR36	5400.5278	8600
KAR37	3343	1593.3334
KAR38	19670.541	2575
KAR39	12548.438	2904.1667
KAR4	26744.166	11873.333
KAR40	1500	4206.1108
KAR41	1602.0834	125
KAR42	1194.2916	6609.7222
KAR43	2214.1458	14230
KAR44	3740.3333	12441.667
KAR45	465.10416	11562.5
KAR46	2296.5139	4134.2856
KAR47	1795.8612	1011.6666
KAR48	4496.125	4051.6667
KAR49	1107.0729	464.16666
KAR5	4801.375	4625
KAR50	4263.5835	2583.3333
KAR6	1427.6388	1247.2223
KAR7	8947.0557	1388.8888
KAR8	2034.8749	3093.3333
KAR9	7751.9375	3472.2224
KOR1	1434.1112	5046.4165
KOR10	4339.4722	1000
KOR11	1128.8959	4309.333
KOR12	1042.9924	2307.2727
KOR13	984.5	397.66669
KOR14	2185.7739	641.66669
KOR15	1375.9584	4576.5479
KOR16	868.31671	3835
KOR17	1300.3833	1290.2777
KOR18	1661.8334	706
KOR19	1004.5278	537.5
KOR2	3997.0833	2708.3333
KOR20	635.23151	822.66669
KOR21	7516.1387	5185.4165
KOR22	9689.917	1786.6666
KOR23	2303.4285	5389.167
KOR24	11122.219	8333.333
KOR25	985.13892	296.66666
KOR26	3282.4583	1095
KOR27	1883.75	4525
KOR28	2691.0237	2738.3335
KOR29	1243.5277	2340.2778
KOR3	1294.5667	1136.6667
KOR30	5299.1772	5110
KOR31	2232.9814	3871.875
KOR32	1011.6333	1270
KOR33	11531.027	12500
KOR34	1150.6875	3195
KOR35	741.27081	3811.6667
KOR36	1236.4333	403.33331
KOR37	2764.8611	2320.8333
KOR38	4683.4722	711.11108
KOR39	380.83334	2652.7778
KOR4	4783.5835	1399.5834
KOR40	3987.9353	803
KOR41	529.72223	7315.5552
KOR42	1368.2167	1244.3333
KOR43	4666.6499	3091.1111
KOR44	330.55954	741.42859
KOR45	2529.0715	6835.8335
KOR5	1530.9584	1112.5
KOR6	932.64581	1868.75
KOR7	346.09525	4307.5
KOR8	2285.4285	2891.762
KOR9	2118.5835	853.33331
KUV1	1426.463	1363.4166
KUV11	1770.6666	3788.8889
KUV12	3244.1833	1062.5
KUV13	6136.9448	3738.0952
KUV14	2067.1946	3513.3333
KUV15	6217.6948	2791.6667
KUV17	1942.5	2040
KUV18	3391.4724	2595
KUV19	1285.5278	2227.4072
KUV2	6153.0835	1562.5
KUV20	2812.012	3487.6191
KUV21	3901.1667	4654.7998
KUV22	3488.3889	3750
KUV23	401.16669	2758.3333
KUV24	2782.95	503.33334
KUV26	5222.875	8407.5
KUV27	959.29169	5320
KUV28	3391.4792	2239.3335
KUV29	4310.6309	3876
KUV3	290.69443	2062.6665
KUV30	5668.604	4500
KUV31	5684.75	2777.7776
KUV32	4648.833	2619.762
KUV33	3045.3501	1674.1666
KUV34	1329.4166	1719.1666
KUV35	7686.5415	6597.2222
KUV37	2101.0972	5424.4443
KUV38	7873.0625	1991.6666
KUV39	3415.7083	1135
KUV4	893.40002	2257.1428
KUV40	2433.125	3357.7776
KUV41	4110.4165	3331.25
KUV42	906	1040.625
KUV43	608.15002	6936
KUV44	2854.6389	8026.6665
KUV45	2914.2292	14628.333
KUV46	6298.4585	1966.6666
KUV47	8236.417	2633.3333
KUV48	465.11664	804.33337
KUV5	1054.2777	1978.3334
KUV50	8527.125	2083.3335
KUV51	2232.55	5110.8335
KUV52	1569.7916	520.83337
KUV6	2201.55	1696
KUV7	2353.4834	1496.6666
KUV9	1690.8031	1942.5
MAN1	1755.8	395
MAN10	1983.8611	800
MAN11	1734.5	2813.8889
MAN12	1912.0334	1983.3334
MAN13	930.22223	3783.3333
MAN14	1589.1528	3425
MAN15	1395.3334	6258.3335
MAN16	1302.3167	1902.0834
MAN17	6782.9448	1788.8888
MAN18	3485.6072	4630
MAN19	3146.8057	1454.1666
MAN2	9689.917	2777.7776
MAN20	22267.445	758.33331
MAN21	784.875	1775
MAN22	2156.3196	1814.5834
MAN23	4360.5	1691.6666
MAN24	2814.9167	2511.1111
MAN25	7622.75	2462.5
MAN26	5813.9585	1966.6666
MAN27	3868.2083	1139.5834
MAN28	13781.021	7608.3335
MAN3	2325.5835	14386.11
MAN30	9296.7861	460
MAN31	537.79169	704.16669
MAN32	1000.4792	2016.6666
MAN33	10206.722	3333.3333
MAN34	1918.5834	1283.3334
MAN37	10392.458	972.22223
MAN38	6431.6875	2083.3333
MAN39	2744.1833	1354.1666
MAN4	894.70831	1472.9166
MAN40	1322.6666	1391.6666
MAN41	3385.0139	225
MAN42	5872.104	7686.6665
MAN43	469.95834	3375
MAN44	7751.9585	6625
MAN45	4156.9585	4537.5
MAN46	1472.8612	998.61108
MAN47	1364.35	3045.238
MAN48	3286.8169	1416.6666
MAN49	1046.5167	593.33331
MAN5	2289.7083	3422.2224
MAN50	7848.8335	1786.6666
MAN51	2213.1667	3143.0557
MAN52	5387.583	1141.6666
MAN6	2324.8811	4019.0479
MAN8	542.63336	736
MAN9	6379.1948	1888.8888
MANAM1	5025.4375	5011.1108
MANAM10	1279.0695	2871.9697
MANAM11	11191.86	33948.887
MANAM12	6739.3335	6055.5552
MANAM13	2958.6526	3111.1111
MANAM14	16279.083	333.33334
MANAM15	1686.0416	3333.3333
MANAM16	5542.6113	2525
MANAM17	4074.604	4412.333
